gene,transcript
AAEL000001,AAEL000001-RA
AAEL000004,AAEL000004-RA
AAEL000005,AAEL000005-RB
AAEL000005,AAEL000005-RC
AAEL000005,AAEL000005-RD
AAEL000006,AAEL000006-RC
AAEL000008,AAEL000008-RA
AAEL000008,AAEL000008-RB
AAEL000008,AAEL000008-RC
AAEL000010,AAEL000010-RA
AAEL000011,AAEL000011-RB
AAEL000011,AAEL000011-RC
AAEL000012,AAEL000012-RA
AAEL000013,AAEL000013-RB
AAEL000016,AAEL000016-RA
AAEL000017,AAEL000017-RA
AAEL000017,AAEL000017-RB
AAEL000018,AAEL000018-RA
AAEL000020,AAEL000020-RA
AAEL000021,AAEL000021-RA
AAEL000022,AAEL000022-RA
AAEL000024,AAEL000024-RA
AAEL000024,AAEL000024-RB
AAEL000024,AAEL000024-RC
AAEL000025,AAEL000025-RB
AAEL000026,AAEL000026-RA
AAEL000027,AAEL000027-RA
AAEL000028,AAEL000028-RA
AAEL000029,AAEL000029-RB
AAEL000032,AAEL000032-RE
AAEL000033,AAEL000033-RA
AAEL000035,AAEL000035-RB
AAEL000036,AAEL000036-RA
AAEL000037,AAEL000037-RA
AAEL000038,AAEL000038-RA
AAEL000039,AAEL000039-RA
AAEL000041,AAEL000041-RA
AAEL000041,AAEL000041-RB
AAEL000041,AAEL000041-RC
AAEL000042,AAEL000042-RA
AAEL000043,AAEL000043-RA
AAEL000044,AAEL000044-RB
AAEL000046,AAEL000046-RA
AAEL000047,AAEL000047-RA
AAEL000048,AAEL000048-RB
AAEL000049,AAEL000049-RA
AAEL000049,AAEL000049-RB
AAEL000049,AAEL000049-RC
AAEL000050,AAEL000050-RA
AAEL000051,AAEL000051-RA
AAEL000053,AAEL000053-RA
AAEL000055,AAEL000055-RB
AAEL000057,AAEL000057-RB
AAEL000058,AAEL000058-RB
AAEL000063,AAEL000063-RB
AAEL000064,AAEL000064-RA
AAEL000065,AAEL000065-RA
AAEL000065,AAEL000065-RB
AAEL000065,AAEL000065-RC
AAEL000066,AAEL000066-RA
AAEL000069,AAEL000069-RA
AAEL000071,AAEL000071-RA
AAEL000073,AAEL000073-RA
AAEL000074,AAEL000074-RA
AAEL000075,AAEL000075-RA
AAEL000076,AAEL000076-RB
AAEL000077,AAEL000077-RA
AAEL000077,AAEL000077-RB
AAEL000077,AAEL000077-RC
AAEL000079,AAEL000079-RB
AAEL000079,AAEL000079-RC
AAEL000079,AAEL000079-RD
AAEL000080,AAEL000080-RA
AAEL000081,AAEL000081-RB
AAEL000084,AAEL000084-RA
AAEL000084,AAEL000084-RB
AAEL000085,AAEL000085-RA
AAEL000087,AAEL000087-RB
AAEL000088,AAEL000088-RA
AAEL000089,AAEL000089-RA
AAEL000090,AAEL000090-RA
AAEL000090,AAEL000090-RB
AAEL000090,AAEL000090-RC
AAEL000091,AAEL000091-RA
AAEL000092,AAEL000092-RA
AAEL000094,AAEL000094-RB
AAEL000094,AAEL000094-RC
AAEL000095,AAEL000095-RB
AAEL000095,AAEL000095-RC
AAEL000097,AAEL000097-RD
AAEL000098,AAEL000098-RB
AAEL000098,AAEL000098-RC
AAEL000099,AAEL000099-RA
AAEL000101,AAEL000101-RA
AAEL000102,AAEL000102-RB
AAEL000106,AAEL000106-RA
AAEL000107,AAEL000107-RA
AAEL000108,AAEL000108-RA
AAEL000109,AAEL000109-RA
AAEL000111,AAEL000111-RA
AAEL000113,AAEL000113-RA
AAEL000115,AAEL000115-RA
AAEL000116,AAEL000116-RB
AAEL000117,AAEL000117-RA
AAEL000117,AAEL000117-RB
AAEL000118,AAEL000118-RA
AAEL000119,AAEL000119-RA
AAEL000122,AAEL000122-RA
AAEL000122,AAEL000122-RB
AAEL000123,AAEL000123-RA
AAEL000124,AAEL000124-RA
AAEL000126,AAEL000126-RA
AAEL000126,AAEL000126-RB
AAEL000126,AAEL000126-RC
AAEL000127,AAEL000127-RA
AAEL000127,AAEL000127-RB
AAEL000128,AAEL000128-RB
AAEL000128,AAEL000128-RC
AAEL000134,AAEL000134-RA
AAEL000137,AAEL000137-RB
AAEL000137,AAEL000137-RC
AAEL000137,AAEL000137-RD
AAEL000137,AAEL000137-RE
AAEL000137,AAEL000137-RF
AAEL000138,AAEL000138-RA
AAEL000139,AAEL000139-RA
AAEL000140,AAEL000140-RA
AAEL000140,AAEL000140-RB
AAEL000143,AAEL000143-RA
AAEL000146,AAEL000146-RA
AAEL000147,AAEL000147-RA
AAEL000148,AAEL000148-RA
AAEL000149,AAEL000149-RA
AAEL000151,AAEL000151-RB
AAEL000152,AAEL000152-RA
AAEL000154,AAEL000154-RA
AAEL000157,AAEL000157-RA
AAEL000159,AAEL000159-RA
AAEL000162,AAEL000162-RA
AAEL000162,AAEL000162-RB
AAEL000163,AAEL000163-RA
AAEL000164,AAEL000164-RB
AAEL000164,AAEL000164-RC
AAEL000165,AAEL000165-RA
AAEL000165,AAEL000165-RB
AAEL000166,AAEL000166-RA
AAEL000166,AAEL000166-RB
AAEL000166,AAEL000166-RC
AAEL000166,AAEL000166-RD
AAEL000166,AAEL000166-RE
AAEL000166,AAEL000166-RF
AAEL000166,AAEL000166-RG
AAEL000166,AAEL000166-RH
AAEL000166,AAEL000166-RI
AAEL000166,AAEL000166-RJ
AAEL000166,AAEL000166-RK
AAEL000170,AAEL000170-RA
AAEL000172,AAEL000172-RB
AAEL000172,AAEL000172-RC
AAEL000172,AAEL000172-RD
AAEL000172,AAEL000172-RE
AAEL000173,AAEL000173-RA
AAEL000174,AAEL000174-RA
AAEL000175,AAEL000175-RB
AAEL000176,AAEL000176-RB
AAEL000178,AAEL000178-RA
AAEL000179,AAEL000179-RA
AAEL000180,AAEL000180-RA
AAEL000181,AAEL000181-RB
AAEL000181,AAEL000181-RC
AAEL000181,AAEL000181-RD
AAEL000181,AAEL000181-RE
AAEL000181,AAEL000181-RF
AAEL000181,AAEL000181-RG
AAEL000181,AAEL000181-RH
AAEL000181,AAEL000181-RI
AAEL000181,AAEL000181-RJ
AAEL000181,AAEL000181-RK
AAEL000182,AAEL000182-RA
AAEL000184,AAEL000184-RA
AAEL000185,AAEL000185-RA
AAEL000185,AAEL000185-RB
AAEL000185,AAEL000185-RC
AAEL000185,AAEL000185-RD
AAEL000186,AAEL000186-RA
AAEL000187,AAEL000187-RB
AAEL000187,AAEL000187-RC
AAEL000188,AAEL000188-RA
AAEL000191,AAEL000191-RA
AAEL000193,AAEL000193-RA
AAEL000193,AAEL000193-RB
AAEL000193,AAEL000193-RC
AAEL000193,AAEL000193-RD
AAEL000193,AAEL000193-RE
AAEL000194,AAEL000194-RA
AAEL000194,AAEL000194-RB
AAEL000194,AAEL000194-RC
AAEL000194,AAEL000194-RD
AAEL000194,AAEL000194-RE
AAEL000194,AAEL000194-RF
AAEL000195,AAEL000195-RC
AAEL000196,AAEL000196-RA
AAEL000199,AAEL000199-RA
AAEL000200,AAEL000200-RA
AAEL000201,AAEL000201-RB
AAEL000201,AAEL000201-RC
AAEL000201,AAEL000201-RD
AAEL000201,AAEL000201-RE
AAEL000203,AAEL000203-RB
AAEL000204,AAEL000204-RC
AAEL000204,AAEL000204-RD
AAEL000204,AAEL000204-RE
AAEL000204,AAEL000204-RF
AAEL000204,AAEL000204-RG
AAEL000204,AAEL000204-RH
AAEL000204,AAEL000204-RI
AAEL000204,AAEL000204-RJ
AAEL000204,AAEL000204-RK
AAEL000204,AAEL000204-RL
AAEL000204,AAEL000204-RM
AAEL000204,AAEL000204-RN
AAEL000204,AAEL000204-RO
AAEL000206,AAEL000206-RB
AAEL000208,AAEL000208-RA
AAEL000210,AAEL000210-RA
AAEL000211,AAEL000211-RA
AAEL000213,AAEL000213-RA
AAEL000214,AAEL000214-RA
AAEL000215,AAEL000215-RA
AAEL000216,AAEL000216-RA
AAEL000217,AAEL000217-RA
AAEL000217,AAEL000217-RB
AAEL000217,AAEL000217-RC
AAEL000219,AAEL000219-RA
AAEL000221,AAEL000221-RA
AAEL000221,AAEL000221-RB
AAEL000223,AAEL000223-RA
AAEL000224,AAEL000224-RA
AAEL000224,AAEL000224-RB
AAEL000226,AAEL000226-RA
AAEL000227,AAEL000227-RA
AAEL000229,AAEL000229-RA
AAEL000230,AAEL000230-RA
AAEL000231,AAEL000231-RA
AAEL000234,AAEL000234-RA
AAEL000234,AAEL000234-RB
AAEL000234,AAEL000234-RC
AAEL000234,AAEL000234-RD
AAEL000234,AAEL000234-RE
AAEL000234,AAEL000234-RF
AAEL000234,AAEL000234-RG
AAEL000234,AAEL000234-RH
AAEL000234,AAEL000234-RI
AAEL000234,AAEL000234-RJ
