"","A4","B4","C4","F3","G3","H3"
"AAEL000001",8.80233768350938,5.23283783165443,6.76952235059249,17.7627045542688,17.9633097196825,24.6167296678739
"AAEL000004",1.7688036133309,2.24264478499475,0.406808639313726,8.88135227713439,3.24282661898685,1.88657099486321
"AAEL000005",0.589601204443634,2.99019304665967,1.6272345572549,3.19728681976838,2.83747329161349,3.77314198972642
"AAEL000006",9.72841987331996,8.2230308783141,33.7651170630392,2.842032728683,2.43211996424013,0
"AAEL000008",2.06360421555272,2.99019304665967,1.6272345572549,3.19728681976838,3.24282661898685,8.48956947688445
"AAEL000010",1182.11561222439,1709.64493317558,1760.80273181632,1392.30665737444,1072.56373113737,1126.33297569475
"AAEL000011",0,0,0,0,0,0
"AAEL000012",0,0,0,0,0,0
"AAEL000013",2.94800602221817,2.61641891582721,2.03404319656863,8.17084409496364,8.91777320221383,5.18807023587383
"AAEL000016",5.89601204443634,6.3541602241518,8.54298142558824,19.5389750096957,20.2676663686678,19.8089954460637
"AAEL000017",0.294800602221817,0,0,0,2.20068510338963,0
"AAEL000018",0,0,0,0,0,0
"AAEL000020",7.95961625998906,12.3345463174712,10.9838332614706,32.3947903372645,32.4282661898685,23.5821374357901
"AAEL000021",0,0,0,0,0,0
"AAEL000022",17.3932355310872,25.4166408966072,22.3744751622549,47.6040482054403,49.8584592669228,45.277703876717
"AAEL000024",0,0.373774130832459,0.406808639313726,4.26304909302451,2.02676663686678,1.88657099486321
"AAEL000025",0.294800602221817,1.12132239249738,2.84766047519608,0,0,0
"AAEL000026",0.589601204443634,0.373774130832459,2.44085183588235,3.90779500193913,4.45888660110691,4.24478473844222
"AAEL000027",0.294800602221817,0,0,0,0,0
"AAEL000028",1.17920240888727,0.373774130832459,2.03404319656863,4.26304909302451,3.24282661898685,4.24478473844222
"AAEL000029",0,0,0,0,0,0
"AAEL000032",1147.65874444953,1788.88299016415,1787.92396978382,1928.6744605025,1741.39789439594,1761.11402370481
"AAEL000033",0.589601204443634,1.12132239249738,1.22042591794118,4.61830318410988,4.45888660110691,1.41492824614741
"AAEL000035",0,0,0,0.362608206024934,0,0
"AAEL000036",0,0,0,0,0,0
"AAEL000037",0,0,0,3.90779500193913,2.02676663686678,2.35821374357901
"AAEL000038",20.6360421555272,15.6985134949633,19.1200060477451,111.194530509723,83.5027854389113,94.8001924918763
"AAEL000039",0,0,0,0,0,0
"AAEL000041",0.294800602221817,0,0,0,0,0.471642748715803
"AAEL000042",1.40981754999034,2.26123892668128,1.74453742159238,7.11161707596712,8.4355028649114,10.3616454751514
"AAEL000043",0,0,0,0.355254091085376,0,0
"AAEL000044",257.360925739646,295.655337488475,316.903930025392,310.847329699704,284.558035816096,411.744119628896
"AAEL000046",2.94800602221817,2.99019304665967,3.66127775382353,13.8549095523296,7.70171322009376,12.2627114666109
"AAEL000047",0,0,0,0,0,0
"AAEL000048",0,0,0,0.355254091085376,0,0
