"","A4","B4","C4","F3","G3","H3"
"AAEL000001",29.858615,14,16.640557,50,44.31519,52.193593
"AAEL000004",6,6,1,25,8,4
"AAEL000005",2,8,4,9,7,8
"AAEL000006",33,22,83,8,6,0
"AAEL000008",7,8,4,9,8,18
"AAEL000010",4009.881945,4574.005508,4328.331706,3919.185429,2645.997106,2388.106207
"AAEL000011",0,0,0,0,0,0
"AAEL000012",0,0,0,0,0,0
"AAEL000013",10,7,5,23,22,11
"AAEL000016",20,17,21,55,50,42
"AAEL000017",1,0,0,0,5.429054,0
"AAEL000018",0,0,0,0,0,0
"AAEL000020",27,33,27,91.187663,80,50
"AAEL000021",0,0,0,0,0,0
"AAEL000022",59,68,55,134,123,96
"AAEL000024",0,1,1,12,5,4
"AAEL000025",1,3,7,0,0,0
"AAEL000026",2,1,6,11,11,9
"AAEL000027",1,0,0,0,0,0
"AAEL000028",4,1,5,12,8,9
"AAEL000029",0,0,0,0,0,0
"AAEL000032",3893,4786,4395,5429,4296,3734
"AAEL000033",2,3,3,13,11,3
"AAEL000035",0,0,0,1.020701,0,0
"AAEL000036",0,0,0,0,0,0
"AAEL000037",0,0,0,11,5,5
"AAEL000038",70,42,47,313,206,201
"AAEL000039",0,0,0,0,0,0
"AAEL000041",1,0,0,0,0,1
"AAEL000042",4.782275,6.049747,4.288349,20.018396,20.810247,21.969267
"AAEL000043",0,0,0,1,0,0
"AAEL000044",873,791,779,875,702,873
"AAEL000046",10,8,9,39,19,26
"AAEL000047",0,0,0,0,0,0
"AAEL000048",0,0,0,1,0,0
"AAEL000049",92,52.000001,14.999999,71,37.999999,38.999999
"AAEL000050",45,26,15,178,88,86
"AAEL000051",29,9,20,0,2,0
"AAEL000053",7,24,17,15,17,12
"AAEL000055",26,30,23,42,38,27
"AAEL000057",0,0,0,0,1,0
"AAEL000058",0,0,0,0,0,0
"AAEL000063",0,0,0,0,0,0
"AAEL000064",0,0,0,4,2,1
"AAEL000065",0,2,0,6,2,5
"AAEL000066",0,0,0,0,0,0
"AAEL000069",0,0,0,0,0,0
"AAEL000071",0,0,0,0,0,0
"AAEL000073",0,1,0,0,0,0
"AAEL000074",1,0,1,7,5,4
"AAEL000075",0,1,0,0,1,0
"AAEL000076",7,8,7,34.812337,24,20
"AAEL000077",28,35,43,49,66,56
"AAEL000079",113.000001,165.999999,217.000001,209,159,137
"AAEL000080",1156,398,991,104,91,50
"AAEL000081",10.279742,13.783516,11.186711,72.929403,45.427359,41.596091
"AAEL000084",63,78,59,152,167,132
"AAEL000085",0,0,0,0,0,0
"AAEL000087",0,1,0,0,1,0
"AAEL000088",6.217725,6.950253,7.711651,34.981604,21.189753,21.030733
"AAEL000089",0,0,0,0,0,0
"AAEL000090",128.141385,139,106.359444,290,202.684809,196.806408
"AAEL000091",23,13,7,70,60,43
"AAEL000092",340,245,228,188,143,126
"AAEL000094",1,0,0,1,2,0
"AAEL000095",0,1,0,1,0,0
"AAEL000097",0,0,0,0,0,0
"AAEL000098",0,0,0,1,0,0
"AAEL000099",3,0,3,4,3,2
"AAEL000101",433,422,421,19,51,16
"AAEL000102",152,111,133,149,141,107
"AAEL000106",12,11,8,16,16,13
"AAEL000107",2,3,4,10,4,10
"AAEL000108",0,0,0,0,0,0
"AAEL000109",0,8.152621,0,0,0,0
"AAEL000111",1,0,0,1,4,0
"AAEL000113",0,0,0,0,0,0
"AAEL000115",6,6,6,29,14,4
"AAEL000116",3,5,4,11,5,8
"AAEL000117",0,0,0,0,0,0
"AAEL000118",12,7,5,53,30,39
"AAEL000119",17,15,11,30,38,32
"AAEL000122",1,4,5,14,14,15
"AAEL000123",0,0,0,0,0,0
"AAEL000124",0,0,0,37,24,10
"AAEL000126",19.769416,10,0,94.717708,81,99.923467
"AAEL000127",42,15,26,8,6,5
"AAEL000128",148.177749,217.611865,185.539969,227.784916,176.832221,131.777454
"AAEL000134",0,0,0,0,0,2
"AAEL000137",0,3,0,18,15,5
"AAEL000138",189,118,125,310,294,232
"AAEL000139",0,0,0,0,0,0
"AAEL000140",4,3,4,16,12,11
"AAEL000143",26,22,19,140,145,131
"AAEL000146",13,4,10,44,55,45
"AAEL000147",7,5,2,26,18,15
"AAEL000148",0,1,4,9,6,5
"AAEL000149",4,6,2,18,8,10
"AAEL000151",0,0,0,0,0,0
"AAEL000152",3.230584,0,12,14.282292,4,4.076533
"AAEL000154",0,0,0,0,0,0
"AAEL000157",3,3,2,16,7,14
"AAEL000159",43,47,31,88,67,70
"AAEL000162",3,0,5,0,0,0
"AAEL000163",33,24,14,119,86,75
"AAEL000164",68,84,47,125,126,98
"AAEL000165",0,0,0,1,1,9.275723
"AAEL000166",3,4,3.000001,1,1.000001,1
"AAEL000170",1,0,2,6,3,3
"AAEL000172",30,39,40,63,59,49.724277
"AAEL000173",10,11,5,57,30,17
"AAEL000174",0,0,4,2,1,0
"AAEL000175",68,112,101,381,266,235
"AAEL000176",0,0,0,0,1,1
"AAEL000178",19,25,10,37,24,23
"AAEL000179",70,99,79,171,104,150
"AAEL000180",32.01432,29.024121,23.024132,106.059215,70.051159,50.109048
"AAEL000181",3.381739,7.613413,14.999999,32.266082,24.512127,21.269597
"AAEL000182",908.98568,508.975879,487.975868,915.940785,706.948841,542.890952
"AAEL000184",18,10,3,18,15,26
"AAEL000185",204.000001,241.000001,241,699.999999,413,417
"AAEL000186",63,58,16,24,19,14
"AAEL000187",1,5,5.124286,8,6,4.101277
"AAEL000188",2,3,2,4,7,4
"AAEL000191",87,116,96,256,266,187
"AAEL000193",19,48.000001,27.999999,66.802038,52,43
"AAEL000194",36.000001,34,29,245,231,198.999999
"AAEL000195",0,0,0,0,0,0
"AAEL000196",1,2,1,0,0,0
"AAEL000199",16,24,14,157,71,98
"AAEL000200",1,0,1,6,3,6
"AAEL000201",0,2,2,12,12,8
"AAEL000203",0,0,0,0,0,0
"AAEL000204",119,151.000001,136,629,598,631
"AAEL000206",33,24,47,212,163,169
"AAEL000208",193,128,117,419,343,262
"AAEL000210",22,26,21,52,66,38
"AAEL000211",9,3,11,44,17,28
"AAEL000213",9.618261,14.386587,3,35.733917,26.487872,37.730404
"AAEL000214",6,11,3,30,26,16
"AAEL000215",4,6,6,31,10,10
"AAEL000216",0,0,0,0,0,0
"AAEL000217",4,14.000001,16,28.000001,33.999999,32
"AAEL000219",127.208815,197,84.656228,655.671965,456,655.149942
"AAEL000221",67.848185,48.207921,80.346535,57.135314,55.349835,58.920792
"AAEL000223",3375,1736,2327,1504,2058,1256
"AAEL000224",0,0,0,0,0,0
"AAEL000226",14,13,14,43,26,27
"AAEL000227",238,224,160,21,34,38
"AAEL000229",0,0,0,4,0,0
"AAEL000230",14,11,10,27,38,33
"AAEL000231",24,40,25,84,59,62
"AAEL000234",91,121.781331,73,279.751289,250.173968,277
"AAEL000235",11,9.21867,10,20.248711,24.826033,15
"AAEL000236",0,0,0,0,0,0
"AAEL000238",0,0,0,0,0,0
"AAEL000239",0,0,0,0,0,1
"AAEL000240",40,38,31,112,73,74
"AAEL000241",12,9,2,36,24,24
"AAEL000242",2,2.999999,0,1,1.999999,2
"AAEL000243",0,0,0,0,0,0
"AAEL000244",35.791185,69,30.343772,192.328035,139,175.850058
"AAEL000245",97,77,58,173,163,112
"AAEL000246",1,0,0,0,0,0
"AAEL000247",0,0,0,1,0,0
"AAEL000248",38,12,10,87,34,43
"AAEL000249",0,1,1,4,3,1
"AAEL000250",0,0,0,1,0,0
"AAEL000251",1,0,0,0,0,0
"AAEL000252",0,0,0,0,0,0
"AAEL000254",1,0,0,0,0,0
"AAEL000255",0,3,1,0,1,1
"AAEL000256",2,3,7,4,1,7
"AAEL000257",2,4,5,16,17,6
"AAEL000258",63,48,70,33,25,13
"AAEL000260",1,0,2,4,3,1
"AAEL000261",1,1,7,4,1,3
"AAEL000263",0,1,0,0,0,1
"AAEL000265",11.719941,13.302982,6.225452,39.442387,38.065225,27.646285
"AAEL000266",0,0,0,0,0,0
"AAEL000267",1,1,1,4,1,2
"AAEL000268",0,0,0,0,0,0
"AAEL000269",554,604,412,1019,859,751
"AAEL000270",70,104,84,259,211,184
"AAEL000271",1148,829.000001,1146.000001,1047,776,592
"AAEL000272",6,5,3.345696,25,23.258094,27.342246
"AAEL000275",62,117,71,222,164,168
"AAEL000276",17,19,13,48,45.999999,29.999999
"AAEL000278",44,27,37,128,162,173
"AAEL000279",11,9,13,41,40,35
"AAEL000281",3.349476,0,0,10.048429,0,10.048429
"AAEL000282",3,4,2,3,5,6
"AAEL000283",0,0,0,0,0,0
"AAEL000284",8,12,5,43,32,30
