,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGAP000002,106.0008212,0.143408367,0.237047287,-0.604977887,0.54519369,0.848091778
AGAP000005,8.588828354,-0.500532112,0.698320751,0.716765342,0.4735189,0.80388979
AGAP000007,35.21993924,-0.875164774,0.374661952,2.335878434,0.019497578,0.103153135
AGAP000008,137.5085964,-0.027836678,0.22474067,0.123861329,0.901425072,0.976417359
AGAP000009,271.7977082,0.048836743,0.172300618,-0.283439166,0.776840208,0.94664199
AGAP000010,47.39623872,-0.295063082,0.312041961,0.945587834,0.344358852,0.70343344
AGAP000011,8.701794486,0.479556456,0.658732656,-0.727998607,0.466614439,0.800657349
AGAP000012,34.66220446,-0.06837125,0.357762662,0.191107842,0.848441104,0.966684059
AGAP000013,21.27505839,0.34999448,0.437158809,-0.800611751,0.423356445,0.76522207
AGAP000014,8.338258348,-0.201291764,0.689265685,0.292037988,0.770257579,0.94664199
AGAP000015,1.1581111,-2.21350085,1.95413423,1.132727126,0.257328863,NA
AGAP000016,0,#VALUE!,NA,NA,NA,NA
AGAP000017,1894.306984,0.346121391,0.137768839,-2.512334392,0.011993538,0.069686033
AGAP000018,103.4692178,0.032006273,0.240497373,-0.13308367,0.89412721,0.97571288
AGAP000019,0.283277481,-1.387854318,3.93749563,0.352471329,0.724484817,NA
AGAP000021,26.30988966,-0.646576391,0.422365942,1.530844056,0.125807938,0.402078192
AGAP000022,579.4821752,-0.174939932,0.185840868,0.941342629,0.346529304,0.704894523
AGAP000023,34.0247232,-5.406447242,0.809565396,6.678209403,2.42E-11,6.00E-10
AGAP000025,39.1268649,-0.30166496,0.361433927,0.834633766,0.403923944,0.749542778
AGAP000028,43.33504553,-1.108598712,0.337074762,3.288880795,0.001005866,0.008310509
AGAP000029,348.9251066,0.224456857,0.175365195,-1.279939596,0.20056638,0.533277171
AGAP000032,152.7489733,-1.858438783,0.241001998,7.711300309,1.25E-14,4.12E-13
AGAP000033,22.31956883,-1.179349078,0.442161321,2.667237099,0.00764777,0.047630554
AGAP000035,110.4955979,0.225760214,0.240542871,-0.938544606,0.347964605,0.705833798
AGAP000037,77.11676337,1.929687763,0.301808424,-6.393750495,1.62E-10,3.73E-09
AGAP000038,0.141638741,-0.474363846,4.080472857,0.116252175,0.907452687,NA
AGAP000039,0,#VALUE!,NA,NA,NA,NA
AGAP000040,90.85526577,-0.573886553,0.273029659,2.101920188,0.035560268,0.161443141
AGAP000041,1.079504194,-0.855543005,1.973336764,0.433551444,0.664614201,NA
AGAP000042,456.3898023,0.069632154,0.18032947,-0.38613852,0.699394083,0.922720509
AGAP000043,62.74734966,0.201843238,0.290760421,-0.694190899,0.487562499,0.809865581
AGAP000044,1869.342014,0.331018966,0.139764901,-2.368398385,0.017865287,0.096664166
AGAP000045,0.140738804,-0.474363846,4.080472857,0.116252175,0.907452687,NA
AGAP000046,3.219783936,-1.19657599,1.158073916,1.033246646,0.301488489,0.661947076
AGAP000047,0,#VALUE!,NA,NA,NA,NA
AGAP000048,29.69042811,-0.543630618,0.381968825,1.42323295,0.154668637,0.458062774
AGAP000049,43.68757426,0.212874574,0.315758497,-0.674168949,0.500203908,0.817821896
AGAP000051,0,#VALUE!,NA,NA,NA,NA
AGAP000053,181.9340757,0.239370178,0.206104377,-1.161402694,0.245478174,0.600997436
AGAP000056,0.693212345,-2.683266266,2.543558571,1.054926078,0.291459135,NA
AGAP000057,0,#VALUE!,NA,NA,NA,NA
AGAP000058,66.83963354,0.246625519,0.294519093,-0.837383807,0.402376865,0.748644315
AGAP000061,13.74380372,-0.951848453,0.557399777,1.707658473,0.087699732,0.314796577
AGAP000062,4.086393977,-0.443839087,0.979751687,0.453011812,0.650540236,0.898105773
AGAP000063,19.32885717,0.330996117,0.488985221,-0.676904132,0.498466782,0.816746489
AGAP000064,35.02495983,0.357733666,0.360820824,-0.991444068,0.321468791,0.682236167
AGAP000065,0.768423946,-1.414386607,2.372850855,0.596070589,0.551128071,NA
AGAP000066,0,#VALUE!,NA,NA,NA,NA
AGAP000067,0.550370494,1.442339346,2.87062829,-0.50244727,0.615352935,NA
AGAP000068,0.182521211,1.449189505,4.080472857,-0.355152345,0.722475463,NA
AGAP000069,0,#VALUE!,NA,NA,NA,NA
AGAP000070,17.89084427,-0.412900391,0.482872987,0.855091094,0.392500719,0.742059444
AGAP000071,0,#VALUE!,NA,NA,NA,NA
AGAP000072,0,#VALUE!,NA,NA,NA,NA
AGAP000073,18.48390371,-0.782905242,0.484541204,1.615766081,0.106144898,0.357821793
AGAP000074,0,#VALUE!,NA,NA,NA,NA
AGAP000075,119.1180116,0.37123477,0.22397845,-1.657457535,0.097427007,0.339096597
AGAP000076,33.23522637,1.009771946,0.361190393,-2.795677749,0.005179101,0.034035228
AGAP000078,29.30348653,-0.478315178,0.392851431,1.217547246,0.223396072,0.569407356
AGAP000079,8.307689869,-0.721357213,0.685454285,1.052378298,0.292626021,0.652681602
AGAP000080,0.281477608,-1.379918832,3.947427445,0.34957421,0.726658268,NA
AGAP000081,47.52882385,0.051770623,0.309943275,-0.167032575,0.867344418,0.973410472
AGAP000082,155.6635926,0.194025041,0.239998397,-0.808443072,0.418835565,0.760680603
AGAP000085,0.277383758,-1.361901721,3.617891762,0.376435176,0.706593399,NA
AGAP000088,1.623690425,-0.111712986,1.686658163,0.066233329,0.947192062,0.988455585
AGAP000090,166.6022584,1.153947504,0.202781153,-5.690605305,1.27E-08,2.40E-07
AGAP000091,1.169372955,-2.207706389,1.957550851,1.127790059,0.259408593,0.616334416
AGAP000092,2.616218816,-1.163860937,1.425800462,0.816285986,0.414336588,0.756816303
AGAP000093,189.4870969,0.231270497,0.205809127,-1.123713512,0.261134582,0.618285647
AGAP000094,0.551573604,-2.354726394,2.781207796,0.846656045,0.397186865,NA
AGAP000095,1.173365023,-2.202418153,2.075683145,1.061057011,0.288663993,0.647211086
AGAP000096,114.6406428,-0.213150207,0.220390106,0.967149618,0.333469244,0.693123298
