,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGAP000002,18.90666287,-0.227820191,0.29990631,-0.759637869,0.447471077,0.762520639
AGAP000005,1.936139612,-1.031926394,1.041151054,-0.991139941,0.321617252,0.648482139
AGAP000007,5.441937412,-0.40625979,0.583043063,-0.696792083,0.485932921,0.792141954
AGAP000008,24.00607095,-0.066877747,0.307015697,-0.217831686,0.827560256,0.950018764
AGAP000009,50.18553084,-0.420480969,0.226074372,-1.8599232,0.062896392,0.218761847
AGAP000010,9.240987107,-0.074508403,0.428655617,-0.173818795,0.862007873,0.961679715
AGAP000011,4.109697742,-2.751905061,1.144765324,-2.403903232,0.016221067,0.079478611
AGAP000012,5.259239018,0.356280744,0.54761588,0.650603383,0.515302546,0.808453482
AGAP000013,4.486439528,0.351657863,0.587314153,0.598755982,0.54933562,0.830539471
AGAP000014,1.319236693,0.411271145,1.048016839,0.392427994,0.694742005,0.903544964
AGAP000017,343.7409588,-0.402178862,0.097200935,-4.137602789,3.51E-05,0.000457035
AGAP000018,17.93135874,-0.090555476,0.305347353,-0.296565453,0.76679829,0.928618625
AGAP000021,4.305873512,-0.656167836,0.679117449,-0.96620671,0.333940756,0.659108811
AGAP000022,114.3599626,0.062547152,0.255965584,0.244357662,0.806953829,0.940193009
AGAP000023,4.690856154,4.037128919,0.958603741,4.211467938,2.54E-05,0.000341195
AGAP000025,6.748732844,-0.407481803,0.514156752,-0.792524463,0.428054934,0.746445072
AGAP000028,6.801857107,0.260826785,0.534201749,0.488255205,0.625369086,0.871040767
AGAP000029,63.18472509,-0.429568826,0.184669742,-2.32614624,0.02001075,0.093523786
AGAP000032,22.23614664,1.651803321,0.293070399,5.63619979,1.74E-08,4.72E-07
AGAP000033,3.653231304,-0.165718917,0.695287443,-0.238345908,0.811612818,0.94249259
AGAP000035,22.33366052,-0.636797103,0.330809629,-1.924965439,0.054233682,0.196950889
AGAP000037,9.397538752,-1.574836812,0.868384163,-1.813525486,0.069750811,0.23530293
AGAP000040,11.81681778,1.104280497,0.5426371,2.035025796,0.041848277,0.163849937
AGAP000042,84.98168793,-0.40004619,0.200602419,-1.994224157,0.046127563,0.17479251
AGAP000043,11.6733079,-0.45068143,0.380883761,-1.183251893,0.236709332,0.544534903
AGAP000044,320.1892465,-0.086784786,0.157522766,-0.550934879,0.581678317,0.846468509
AGAP000048,5.073524715,-0.261821706,0.58053953,-0.450997206,0.651991563,0.885038399
AGAP000049,8.288119741,-0.706572626,0.46997922,-1.503412483,0.13273271,0.369005503
AGAP000053,32.62047571,-0.143932377,0.24108891,-0.597009529,0.550501019,0.830574139
AGAP000058,11.6485196,-0.04107075,0.381188356,-0.107743979,0.914198782,0.976118321
AGAP000061,1.688694763,-0.848055765,1.022987851,-0.828998862,0.407105051,0.730160556
AGAP000063,3.878902373,-0.877353039,0.695541153,-1.261396303,0.2071661,0.5011121
AGAP000064,8.156726297,-0.684564492,0.529681586,-1.292407571,0.196216036,0.482589173
AGAP000070,3.667399817,-0.34403,0.708738781,-0.485411564,0.627384431,0.87180797
AGAP000073,2.372451758,0.509032287,0.788004565,0.645976317,0.518294693,0.811300191
AGAP000075,19.06072342,-1.799553901,0.371873608,-4.839154657,1.30E-06,2.43E-05
AGAP000076,6.704490244,-1.213601355,0.543336447,-2.233609327,0.02550879,0.11178762
AGAP000078,4.532323321,0.415221308,0.577172884,0.719405432,0.471891151,0.781652108
AGAP000079,1.341119923,0.871111296,1.036419001,0.840501086,0.400627493,0.726234776
AGAP000081,6.990113013,-0.243252056,0.480097803,-0.506671879,0.612385065,0.865559447
AGAP000082,29.55237804,0.271827566,0.279326838,0.973152341,0.330477594,0.657412616
AGAP000090,42.22829628,-2.739808569,0.433032271,-6.327030917,2.50E-10,9.41E-09
AGAP000093,38.46842177,-0.695715232,0.279014534,-2.493473091,0.012650017,0.065536634
AGAP000096,20.80144769,0.242205204,0.278228449,0.870526378,0.384012811,0.711337524
AGAP000097,27.72970803,-0.101219434,0.247474157,-0.409010118,0.682532236,0.898327635
AGAP000098,1.385460638,0.400254479,0.998405,0.400893905,0.688498237,0.900421639
AGAP000099,30.85744657,0.047761482,0.236910245,0.201601588,0.840228203,0.952850119
AGAP000100,2.263134838,1.554400329,0.815472046,1.906135639,0.05663261,0.203093207
AGAP000102,53.52297573,-0.125539123,0.196081349,-0.640240003,0.522016579,0.812516116
AGAP000105,7.322417299,0.5659011,0.480287376,1.178255202,0.238694881,0.547210994
AGAP000106,27.29769161,0.142869449,0.276650196,0.516426342,0.605556672,0.861065458
AGAP000107,1.379326945,0.671434948,1.038686132,0.64642718,0.518002743,0.811218136
AGAP000109,242.7631952,0.440182706,0.170491753,2.581841629,0.009827467,0.05381671
AGAP000110,40.46159442,0.739052841,0.242880122,3.042870838,0.002343329,0.016523227
AGAP000112,10.32062824,-0.171049102,0.420179275,-0.407086003,0.683944824,0.898749459
AGAP000114,4.175481194,-1.177233682,0.739438808,-1.592063698,0.111370393,0.324273304
AGAP000116,9.454181068,0.724023879,0.554988195,1.304575279,0.19203751,0.47553789
