,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,50.4431981,0.054186514,0.330842554,0.163783388,0.869901669,0.957425164
AAEL000004,10.14781214,0.527902265,0.750465403,0.70343318,0.481785835,0.761838814
AAEL000005,9.577705047,-0.352107091,0.680028311,-0.517782988,0.604609689,0.835389442
AAEL000006,2.578832681,2.90849387,1.70753543,1.703328563,0.088506598,NA
AAEL000008,11.5193707,0.295610464,0.681252305,0.433922148,0.664344976,0.863889698
AAEL000010,3050.142769,0.024418199,0.148937913,0.163948848,0.869771413,0.957425164
AAEL000011,0,NA,NA,NA,NA,NA
AAEL000012,0,NA,NA,NA,NA,NA
AAEL000013,20.56004903,-0.175898838,0.500595197,-0.351379396,0.725303738,0.893980204
AAEL000016,47.66233889,0.211378622,0.327661536,0.645112711,0.518854147,0.787694426
AAEL000017,4.708340681,-2.089666464,1.295106491,-1.613509374,0.106633888,0.330800733
AAEL000018,0,NA,NA,NA,NA,NA
AAEL000020,73.22100142,0.114188389,0.281427795,0.405746664,0.684928752,0.873196646
AAEL000021,0,NA,NA,NA,NA,NA
AAEL000022,114.1655547,0.216253252,0.240133619,0.900553837,0.367825588,0.674547827
AAEL000024,4.154021127,2.444821913,1.213022838,2.015478882,0.043854497,0.186168472
AAEL000025,0,NA,NA,NA,NA,NA
AAEL000026,9.055100834,0.586064947,0.714498206,0.820246912,0.412075364,0.710849852
AAEL000027,0.167946961,-0.79417838,4.080472857,-0.194629007,0.845683393,NA
AAEL000028,12.34954601,-0.547489666,0.619624695,-0.883582708,0.376921517,0.681189488
AAEL000029,0,NA,NA,NA,NA,NA
AAEL000032,4921.592932,-0.153020039,0.120338429,-1.271580823,0.203522094,0.49313486
AAEL000033,9.330451807,-0.070402851,0.719509887,-0.097848345,0.922052718,0.974981985
AAEL000035,0.147599797,1.129374971,4.080472857,0.276775514,0.781952484,NA
AAEL000036,0,NA,NA,NA,NA,NA
AAEL000037,4.574822261,1.745337387,1.04205603,1.674897834,0.093954279,0.306509164
AAEL000038,194.1811845,0.819996607,0.19775103,4.146611052,3.37E-05,0.000634671
AAEL000039,0,NA,NA,NA,NA,NA
AAEL000041,0.199366553,1.129374971,4.080472857,0.276775514,0.781952484,NA
AAEL000042,18.12810955,0.674687476,0.505793425,1.333919032,0.182230394,0.459631768
AAEL000043,0.147599797,1.129374971,4.080472857,0.276775514,0.781952484,NA
AAEL000044,751.2757571,0.430793067,0.240747785,1.789395765,0.073551101,0.262980434
AAEL000046,24.52246773,0.510059143,0.450565177,1.132042973,0.257616368,0.561383469
AAEL000047,0,NA,NA,NA,NA,NA
AAEL000048,0.147599797,1.129374971,4.080472857,0.276775514,0.781952484,NA
