,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,37.3493263,-0.816701484,0.428282911,-1.906920549,0.056530877,0.16763749
AAEL000004,6.353719835,-0.35063132,0.879711817,-0.398575208,0.690206232,0.846125534
AAEL000005,5.646695292,0.23682233,0.908821727,0.260581722,0.794415087,0.90598151
AAEL000006,32.10810243,6.423072054,1.010360036,6.357211116,2.05E-10,4.65E-09
AAEL000008,5.964319752,1.161235731,0.85717874,1.354718307,0.175507323,0.379781653
AAEL000010,4972.783738,0.430588387,0.200964638,2.142607735,0.03214461,0.107192532
AAEL000011,0,NA,NA,NA,NA,NA
AAEL000012,0,NA,NA,NA,NA,NA
AAEL000013,9.008448141,0.214386279,0.710697954,0.301655967,0.762914338,0.889397074
AAEL000016,32.12016539,-0.579969504,0.421172024,-1.377037104,0.168500777,0.368520349
AAEL000017,0.347999729,0.874063935,3.809089693,0.229467932,0.818505242,NA
AAEL000018,0,NA,NA,NA,NA,NA
AAEL000020,32.50572998,0.531010363,0.411330755,1.290957113,0.196718549,0.410422216
AAEL000021,0.095290165,-0.087720702,4.080472857,-0.021497681,0.982848654,NA
AAEL000022,59.87247123,1.016523991,0.355756761,2.857356777,0.004271854,0.021239891
AAEL000024,0.44374179,2.735917136,3.451399466,0.792697908,0.42795385,NA
AAEL000025,2.607955229,4.267473751,1.75972041,2.425086238,0.015304751,NA
AAEL000026,5.131853465,-0.568577041,0.996369749,-0.570648638,0.568237841,0.767795414
AAEL000027,0.220462682,1.83583265,4.080472857,0.44990684,0.652777615,NA
AAEL000028,4.122351254,0.32880886,1.162444246,0.282859897,0.777284237,0.897625866
AAEL000029,0,NA,NA,NA,NA,NA
AAEL000032,6838.268525,-0.451846441,0.191857711,-2.355112233,0.018517112,0.069648798
AAEL000033,3.762607848,-0.195091277,1.068919231,-0.182512646,0.855180431,0.935720459
AAEL000035,0,NA,NA,NA,NA,NA
AAEL000036,0,NA,NA,NA,NA,NA
AAEL000037,0.19058033,-0.722285686,4.060806881,-0.177867529,0.858827012,NA
AAEL000038,65.83076739,0.200751277,0.375612721,0.534463468,0.593020918,0.785898089
AAEL000039,0,NA,NA,NA,NA,NA
AAEL000041,0.220462682,1.83583265,4.080472857,0.44990684,0.652777615,NA
AAEL000042,4.8627757,1.069683524,0.937596579,1.140878228,0.253920601,0.482660994
AAEL000043,0.095290165,-0.087720702,4.080472857,-0.021497681,0.982848654,NA
AAEL000044,600.4757184,3.176042786,0.226228144,14.03911437,8.98E-45,1.75E-42
AAEL000046,16.28431945,-0.775452444,0.563745064,-1.375537444,0.168964886,0.368726327
AAEL000047,0,NA,NA,NA,NA,NA
AAEL000048,0,NA,NA,NA,NA,NA
AAEL000049,49.83704938,1.165605045,0.58373813,1.996794428,0.045847519,0.141044798
