,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,31.31848929,-2.093542622,0.528165515,-3.963800293,7.38E-05,0.000819003
AAEL000004,2.791867245,-1.96058268,1.411208339,-1.389293577,0.164743496,0.345074009
AAEL000005,2.274028066,1.583462486,1.298318018,1.219626058,0.222606663,NA
AAEL000006,12.19081176,2.727119358,0.686045662,3.975128054,7.03E-05,0.000786924
AAEL000008,2.973476224,1.813945871,1.162418504,1.560492941,0.118643437,0.274741418
AAEL000010,1480.02279,0.033845589,0.285995178,0.118343217,0.905795716,0.957859758
AAEL000013,6.686737037,-0.167912632,0.801300509,-0.209550137,0.8340188,0.922212709
AAEL000016,21.40685769,-0.931030175,0.52204276,-1.783436621,0.074515256,0.197630914
AAEL000017,0.566496474,-1.875621577,3.211943746,-0.583952188,0.55925248,NA
AAEL000020,21.55861121,-0.32749777,0.525011986,-0.623791034,0.532764828,0.724079417
AAEL000022,41.33478785,0.858773031,0.385627988,2.226946846,0.025950826,0.090705121
AAEL000024,3.149979834,0.867267502,1.125158918,0.770795563,0.440828118,0.649625138
AAEL000026,3.643857807,-1.13499843,1.155338341,-0.982394845,0.325905365,0.539505503
AAEL000028,35.85036593,0.6646567,0.416506564,1.595789257,0.110535853,0.262500328
AAEL000032,2905.013658,-0.218568083,0.26416356,-0.827396794,0.408012197,0.619733343
AAEL000033,4.132374813,-0.529165612,1.027430194,-0.515038019,0.606526453,0.778684616
AAEL000037,0.884599973,0.636050345,2.249131704,0.282798177,0.777331552,NA
AAEL000038,45.28672084,0.081222081,0.420308635,0.193243903,0.846767957,0.929506378
AAEL000042,9.430651145,-0.990773163,0.804944367,-1.230859179,0.218375537,0.415926457
AAEL000044,206.6364989,3.594700437,0.962285661,3.735585578,0.000187279,0.00181357
AAEL000046,10.12313983,-1.782275781,0.782797228,-2.2768039,0.022797939,0.082381931
AAEL000049,28.36493506,0.060922808,0.544666445,0.111853426,0.910939626,0.959847597
AAEL000050,37.47262433,-1.32339062,0.48125434,-2.749877791,0.005961749,0.029212572
AAEL000051,3.517185686,1.464019555,1.090515117,1.34250276,0.179433036,0.365732894
AAEL000053,6.761304208,1.470653615,0.817504075,1.798955698,0.072025689,0.19257505
AAEL000055,11.25497718,0.914418509,0.649813017,1.407202509,0.159367348,0.337856939
