,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,90.90855686,0.808909444,0.287707274,-2.811571056,0.00493002,0.018815168
AAEL000004,11.72601751,-0.107246774,0.434093845,0.247058961,0.804862594,0.889119544
AAEL000005,6.031806541,-1.42954058,0.73351462,1.948891735,0.051308355,0.129343653
AAEL000006,3.297958648,3.093166209,1.063495425,-2.908490375,0.003631784,0.014511498
AAEL000008,5.542517692,-1.024033359,0.755051069,1.356243838,0.175021598,0.321539589
AAEL000010,4489.365957,-0.419377242,0.192162309,2.182411551,0.029079173,0.081737135
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0,#VALUE!,NA,NA,NA,NA
AAEL000013,13.50037963,0.633973421,0.422070325,-1.502056373,0.133082551,0.26412126
AAEL000016,55.02104266,0.575025826,0.276266798,-2.081414891,0.037395947,0.10036152
AAEL000017,2.876893614,0.041865391,1.398650431,-0.029932705,0.976120722,0.986645946
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,52.35283203,0.317572803,0.28605422,-1.110183947,0.266919769,0.433983742
AAEL000021,0,#VALUE!,NA,NA,NA,NA
AAEL000022,62.49692058,0.37488506,0.20278472,-1.848684949,0.064503318,0.153858499
AAEL000024,5.353820698,0.079376717,0.675414219,-0.117523018,0.906445605,0.949897678
AAEL000025,0.43754471,-1.340670991,2.521393789,0.531718209,0.594921178,NA
AAEL000026,8.76670118,0.885594282,0.492994671,-1.796356705,0.072437805,0.168378313
AAEL000027,0.180365843,-0.160366476,3.53380296,0.045380707,0.963803859,NA
AAEL000028,62.61986758,0.227679341,0.274462738,-0.829545543,0.406795777,0.577123136
AAEL000029,0,#VALUE!,NA,NA,NA,NA
AAEL000032,9102.688582,-0.313642075,0.117119231,2.677972447,0.007406931,0.026663385
AAEL000033,9.785879507,0.53450355,0.529128959,-1.010157431,0.312419871,0.482015182
AAEL000035,0.086197724,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL000036,0,#VALUE!,NA,NA,NA,NA
AAEL000037,1.659241218,0.157220364,1.193887097,-0.131687799,0.895231236,0.943472251
AAEL000038,93.48192592,0.376347303,0.361653131,-1.040630566,0.298047039,0.467916427
AAEL000039,0.086197724,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL000041,0,#VALUE!,NA,NA,NA,NA
AAEL000042,19.03024471,1.295326715,0.675363214,-1.917970491,0.055114753,0.136602698
AAEL000043,0.094136155,0.320525865,3.53380296,-0.090702812,0.927728736,NA
AAEL000044,149.8589285,-1.228982992,0.45020015,2.729859135,0.006336139,0.023402652
AAEL000046,30.63188116,0.555952507,0.301826694,-1.841959367,0.065481094,0.155645282
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,0,#VALUE!,NA,NA,NA,NA
