,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,368.977609,0.939623589,0.185658816,-5.061023283,4.17E-07,2.08E-06
AAEL000004,69.00593781,0.099237236,0.273740554,-0.362522962,0.716961268,0.784413922
AAEL000005,69.46576953,-2.283030599,0.326971577,6.982351856,2.90E-12,2.81E-11
AAEL000006,246.3812193,0.249314053,0.792533148,-0.314578707,0.753081548,0.812804642
AAEL000008,29.57851156,-0.738536895,0.382834011,1.929130832,0.053714622,0.094889316
AAEL000010,17141.26323,1.705445708,0.197168258,-8.649697102,5.16E-18,8.69E-17
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0.211515454,-0.473283331,4.03066951,0.117420525,0.90652682,NA
AAEL000013,47.05792049,-0.457953187,0.313318648,1.461621228,0.143845034,0.216320484
AAEL000016,228.3730106,0.972445467,0.187266946,-5.192830289,2.07E-07,1.08E-06
AAEL000017,3.293515159,-0.968420524,1.594245852,0.607447417,0.543554029,0.633340959
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,99.39142014,0.346906981,0.234580124,-1.478842176,0.139182501,0.210784129
AAEL000021,1.084216243,-2.843713314,2.028402584,1.401947195,0.160931016,0.237331146
AAEL000022,87.39185682,0.505512133,0.234864177,-2.15235946,0.031369054,0.05974754
AAEL000024,167.7557698,2.134883471,0.180343146,-11.83789635,2.49E-32,1.32E-30
AAEL000025,29.471208,2.042710128,0.516469457,-3.955142171,7.65E-05,0.000266969
AAEL000026,53.70232058,-1.984201832,0.364849936,5.438405319,5.38E-08,3.05E-07
AAEL000027,0.211515454,-0.473283331,4.03066951,0.117420525,0.90652682,NA
AAEL000028,2767.351725,2.323220735,0.141930422,-16.36872989,3.20E-60,9.11E-58
AAEL000029,6.373676871,1.963318214,0.834428857,-2.352888681,0.01862821,0.037874855
AAEL000032,31798.80952,1.800209942,0.165139548,-10.90114369,1.14E-27,4.35E-26
AAEL000033,48.48910685,-1.279478013,0.314185229,4.07236844,4.65E-05,0.00016844
AAEL000035,4.584866468,-3.882023248,1.405831494,2.761371662,0.005755913,0.013387223
AAEL000036,0.105757727,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000037,394.6900869,1.886956704,0.131267374,-14.37491015,7.44E-47,9.84E-45
AAEL000038,119.0233821,0.462597424,0.232634962,-1.988512043,0.046755088,0.084172004
AAEL000039,0.098197262,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000041,0.098197262,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000042,72.56937168,-0.67960468,0.260987796,2.603971111,0.009215052,0.020421454
AAEL000043,0.191735766,-0.349833294,4.041551199,0.086559164,0.931021926,NA
AAEL000044,60.32363685,1.480049878,0.308638677,-4.79541285,1.62E-06,7.40E-06
AAEL000046,105.8907003,0.372479059,0.210555485,-1.769030422,0.076888798,0.128533748
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,2.135811953,0.813626429,1.430979059,-0.568580248,0.569641032,0.656615248
AAEL000049,70.52147268,1.01034917,0.301433667,-3.351812622,0.000802843,0.002284922
AAEL000050,90.63627155,-0.587303198,0.230228767,2.550954888,0.010742823,0.02341128
AAEL000051,3.909175308,-4.695370837,1.488576968,3.154268095,0.001609012,0.004287863
AAEL000053,62.36719398,-0.762126951,0.282512727,2.697672979,0.0069826,0.01594042
AAEL000055,66.39742895,-0.13857996,0.316748783,0.437507474,0.661743357,0.736669365
AAEL000057,1.406630082,0.440555732,1.63357381,-0.269688293,0.787400068,0.840854974
AAEL000058,0.374154016,-1.314059191,3.97642857,0.330462164,0.741050777,NA
AAEL000063,0.098197262,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000064,257.8648046,1.37421589,0.196420426,-6.996298296,2.63E-12,2.56E-11
AAEL000065,14.99166644,-2.776238427,0.694456763,3.99771242,6.40E-05,0.000226071
AAEL000066,0.383471531,-1.347848398,3.547708801,0.379920809,0.7040042,NA
AAEL000069,0,#VALUE!,NA,NA,NA,NA
AAEL000071,0.513667704,-1.760692867,3.237153925,0.543901497,0.586509259,NA
AAEL000073,13.29411214,-6.459921133,1.271029578,5.082431788,3.73E-07,1.88E-06
AAEL000074,920.1445928,2.091617307,0.158374186,-13.20680703,8.02E-40,6.82E-38
AAEL000075,0.496789723,-1.716118293,2.671363698,0.642412823,0.520605176,NA
AAEL000076,147.3738866,0.982451583,0.183234213,-5.361725658,8.24E-08,4.53E-07
AAEL000077,58.98635248,0.408657909,0.309358379,-1.320985423,0.186506225,0.26714214
AAEL000079,650.1761319,-0.406585756,0.194746176,2.087772736,0.03681834,0.068738058
AAEL000080,115.2374153,0.498189179,0.331730391,-1.501789385,0.133151511,0.202856373
AAEL000081,287.0589587,-0.375050652,0.179724616,2.08680737,0.036905551,0.068851836
AAEL000084,180.2412843,0.145316968,0.206363735,-0.704178807,0.481321428,0.573733391
AAEL000085,0.596255618,0.032117619,2.67361052,-0.012012826,0.990415382,NA
AAEL000087,136.313656,1.432036785,0.250554119,-5.715478911,1.09E-08,6.84E-08
AAEL000088,30.98909082,-1.027973571,0.430071905,2.390236511,0.016837526,0.034729716
AAEL000089,0.407909977,-1.428815906,3.48793235,0.409645533,0.682065991,NA
AAEL000090,179.1713886,0.18801274,0.177603914,-1.058606962,0.289778815,0.383581573
AAEL000091,82.35407415,-0.595362024,0.249614532,2.385125659,0.017073288,0.035182786
AAEL000092,21.39975177,-7.145599558,1.236210384,5.780245538,7.46E-09,4.76E-08
AAEL000094,2.782655502,0.120707847,1.35811751,-0.088878794,0.929178236,0.948797037
AAEL000095,0.31727318,-1.061892956,3.989594024,0.266165668,0.790111623,NA
AAEL000097,0.501448481,-1.727897158,2.666715645,0.647949534,0.517017592,NA
AAEL000098,0.664087044,-2.140671358,2.98884632,0.716219949,0.473855547,NA
AAEL000099,431.3972611,2.163008258,0.169558874,-12.75667979,2.86E-37,2.04E-35
AAEL000101,78.39036706,1.143484661,0.290554124,-3.935530652,8.30E-05,0.000287291
AAEL000102,230.7428658,0.237336096,0.219045411,-1.083501792,0.278585756,0.371655631
AAEL000106,17.70131862,0.798463894,0.50868648,-1.56965818,0.116494655,0.18188932
AAEL000107,15.18157993,-1.891170937,0.638624914,2.961317194,0.003063263,0.007641896
AAEL000108,0.944284828,-1.208395543,2.374785374,0.508844107,0.6108615,NA
AAEL000109,15.97466821,-2.111678553,1.814147754,1.164005825,0.244421651,0.333895159
AAEL000111,660.9139524,1.257841422,0.204183516,-6.160347547,7.26E-10,5.22E-09
AAEL000113,0,#VALUE!,NA,NA,NA,NA
AAEL000115,97.44264587,0.062193642,0.223397288,-0.278399271,0.780705879,0.835805526
AAEL000116,33.77983272,-1.835757373,0.413091094,4.443952921,8.83E-06,3.59E-05
AAEL000117,0.105757727,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000118,88.32533111,-0.90021806,0.251424764,3.580466959,0.000342981,0.001050258
AAEL000119,38.2464944,1.282125866,0.399440009,-3.20980832,0.001328235,0.003598894
AAEL000122,58.23773162,-1.797115012,0.351599192,5.111260351,3.20E-07,1.62E-06
AAEL000123,1.694324158,-3.485654155,1.793328091,1.943679002,0.051934172,0.092129028
AAEL000124,58.96844039,-3.755805926,0.568002181,6.612308985,3.78E-11,3.20E-10
AAEL000126,79.97192933,0.833662112,0.328217379,-2.539969437,0.011086216,0.024067574
AAEL000127,8.869198128,0.712120347,0.670263999,-1.062447556,0.288032554,0.38187439
AAEL000128,487.0532115,1.009709922,0.12868964,-7.846085532,4.29E-15,5.59E-14
AAEL000134,5.250233033,-1.580128426,1.040782259,1.518212299,0.128960888,0.197725947
AAEL000137,19.02199291,-0.262736132,0.466147927,0.563632522,0.573004249,0.659911572
AAEL000138,622.2050755,0.072719207,0.148876968,-0.488451691,0.625229936,0.705793587
AAEL000139,2.640783764,-4.129381538,1.602434995,2.576941687,0.009967877,0.021875249
AAEL000140,34.24272155,-0.388066632,0.363519099,1.067527491,0.285733706,0.379185476
AAEL000143,195.3830818,1.313956952,0.185763845,-7.073265279,1.51E-12,1.52E-11
AAEL000146,0.280615512,-0.900825281,3.999262606,0.225247844,0.821786471,NA
AAEL000147,28.46345253,0.016124816,0.388274526,-0.04152942,0.966873839,0.974832567
AAEL000148,13.15724525,-1.454559504,0.640442927,2.271177403,0.023136241,0.045776505
AAEL000149,86.17026387,-2.259033559,0.288932578,7.818549128,5.34E-15,6.89E-14
AAEL000151,1.562361706,2.791026426,2.057760206,-1.356341919,0.174990404,0.253305084
AAEL000152,2.275325641,0.592421973,1.391784184,-0.425656492,0.670358169,0.744460369
AAEL000154,20.35375165,-2.560813489,0.582513507,4.396144393,1.10E-05,4.42E-05
AAEL000157,51.22970469,-1.787253412,0.346042018,5.164845069,2.41E-07,1.24E-06
AAEL000159,138.2762609,0.538102788,0.192477131,-2.79567128,0.005179205,0.0121821
AAEL000162,0.786722751,-2.381442265,2.257359584,1.054968062,0.291439932,NA
AAEL000163,166.5264947,1.003701599,0.183145679,-5.480345494,4.24E-08,2.45E-07
AAEL000164,11.27715324,-1.009924188,0.67512913,1.495897812,0.134680287,0.204889128
AAEL000165,1354.498187,1.991274389,0.179307388,-11.10536724,1.18E-28,4.75E-27
AAEL000166,23.80220182,0.538851662,0.441641443,-1.22011118,0.222422731,0.309094721
AAEL000170,24.68495984,-2.565617587,0.518176679,4.951240943,7.37E-07,3.55E-06
AAEL000172,347.6208521,-1.156358026,0.170269276,6.791348681,1.11E-11,1.01E-10
AAEL000173,228.985558,0.551699919,0.165743529,-3.328636258,0.000872723,0.002460824
AAEL000174,16.97624676,-2.937878504,0.703655505,4.175165949,2.98E-05,0.000111247
AAEL000175,1622.371048,1.478189804,0.159341755,-9.276851544,1.75E-20,3.63E-19
AAEL000176,2.987807674,-2.140447339,1.421659965,1.505597254,0.132170594,0.201592218
AAEL000178,65.54424276,-0.489848494,0.27555994,1.777647702,0.075461734,0.126592426
AAEL000179,157.844701,-0.785038278,0.183258837,4.283767644,1.84E-05,7.12E-05
AAEL000180,197.8625452,0.763411782,0.172677895,-4.42101625,9.82E-06,3.97E-05
AAEL000181,90.40559114,-0.367565142,0.248678505,1.478073637,0.13938807,0.210982291
AAEL000182,2098.439182,0.16937533,0.136690482,-1.239115761,0.215302631,0.301405286
AAEL000184,35.84124874,-0.308301092,0.350162892,0.880450497,0.378615311,0.475221296
AAEL000185,1069.633406,0.455945794,0.105921739,-4.304553535,1.67E-05,6.53E-05
AAEL000186,184.8872781,0.427631215,0.204735659,-2.088699236,0.036734806,0.068611424
AAEL000187,20.89460922,-0.533501845,0.462541398,1.153414261,0.248740391,0.338953271
AAEL000188,58.57575315,1.069116594,0.266330685,-4.014244905,5.96E-05,0.000212102
AAEL000191,87.59129019,-0.656081844,0.23150196,2.834022846,0.004596605,0.010961263
AAEL000193,150.0266242,-0.716789253,0.18829737,3.806687535,0.000140841,0.000466361
AAEL000194,138.6060075,0.416451133,0.272616998,-1.527605163,0.126610599,0.194783251
AAEL000195,0.867135887,0.949035696,2.160074596,-0.439353205,0.660405628,NA
AAEL000196,6.095939634,-3.354409119,1.236914988,2.711915653,0.006689561,0.015332877
AAEL000199,131.7647097,-0.151403797,0.190653229,0.794131827,0.427118691,0.522890362
AAEL000200,3352.547467,2.393343349,0.124717531,-19.19011173,4.48E-82,3.26E-79
AAEL000201,17.17775365,-3.279179761,0.74986738,4.373012945,1.23E-05,4.88E-05
AAEL000203,0.098197262,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000204,103.6203696,-5.965660679,0.625483921,9.53767232,1.46E-21,3.29E-20
AAEL000206,5.398399821,-5.160308906,1.408918155,3.662603741,0.000249665,0.000782052
AAEL000208,209.6412908,0.874396973,0.174758628,-5.00345525,5.63E-07,2.76E-06
AAEL000210,132.6367954,0.555950914,0.186961288,-2.97361513,0.00294314,0.007369658
AAEL000211,369.7160776,-0.257484391,0.145938675,1.764332792,0.077675966,0.129700753
AAEL000213,449.6828232,2.047924318,0.323696352,-6.326683345,2.50E-10,1.91E-09
AAEL000214,28.8412104,0.51272807,0.393423364,-1.303247638,0.192490231,0.274363999
AAEL000215,46.26547342,-0.342858113,0.32485995,1.055402839,0.291241125,0.385205993
AAEL000216,4.175158229,4.355636124,1.489295493,-2.924628553,0.003448676,0.008487953
AAEL000217,217.3246134,-2.735367038,0.211216743,12.95052182,2.33E-38,1.80E-36
AAEL000219,67.11576635,-0.324408837,0.265353519,1.222553364,0.221498437,0.308169693
AAEL000221,83.23518838,0.018549622,0.25339405,-0.073204646,0.94164327,0.957571127
AAEL000223,34.33378361,-7.827287426,1.247943173,6.272150525,3.56E-10,2.66E-09
AAEL000224,0,#VALUE!,NA,NA,NA,NA
AAEL000226,125.5089055,-0.423046369,0.20189462,2.09538208,0.036137041,0.0676271
AAEL000227,283.4727951,1.772006196,0.227046258,-7.80460429,5.97E-15,7.63E-14
AAEL000229,151.9566762,-9.973788381,1.190492569,8.377866979,5.39E-17,8.31E-16
AAEL000230,89.22811172,0.559668036,0.229902728,-2.434368832,0.014917786,0.031342177
AAEL000231,235.890996,0.703379034,0.160035732,-4.395137417,1.11E-05,4.44E-05
AAEL000234,86.35164916,0.65467429,0.273166216,-2.396615146,0.016547293,0.034244249
AAEL000235,76.96830588,-1.3806698,0.391050424,3.530669485,0.000414509,0.00124829
AAEL000236,0.64369225,-0.427154805,2.281729091,0.187206626,0.85149863,NA
AAEL000238,0.093538504,0.505427261,4.080472857,-0.123864875,0.901422264,NA
AAEL000239,11.30901298,-2.559786491,0.765816247,3.342559655,0.000830095,0.00235074
AAEL000240,99.77364116,-0.271389183,0.217906865,1.245436592,0.21297131,0.298843896
AAEL000241,96.76771896,0.572122434,0.238923798,-2.394581192,0.016639359,0.034413041
AAEL000242,35.43364078,-1.926413362,0.419650401,4.590519534,4.42E-06,1.89E-05
AAEL000243,0.496002991,3.201867558,4.049655423,-0.790651851,0.42914718,NA
AAEL000244,4.631814683,-2.952206346,1.298749389,2.273114715,0.023019268,0.045586359
AAEL000245,300.6537722,0.607196386,0.140292807,-4.328064987,1.50E-05,5.92E-05
AAEL000246,17.33734805,-3.896289893,0.823982764,4.728606063,2.26E-06,1.01E-05
AAEL000247,1.292829989,-3.09599911,1.945202206,1.591607855,0.111472844,0.175154429
AAEL000248,115.4992301,-1.061195207,0.247073589,4.295057236,1.75E-05,6.80E-05
AAEL000249,13.85290925,-2.198248586,0.651262759,3.375363562,0.000737182,0.002113192
AAEL000250,6.196059055,-1.798679831,0.916941947,1.961607096,0.049808245,0.088874999
AAEL000251,28.39374572,-3.585876005,0.612213778,5.857228528,4.71E-09,3.07E-08
AAEL000252,30.43860884,1.632539165,0.443906042,-3.677668268,0.000235376,0.000741013
AAEL000254,2.459634146,-2.870933154,1.591512513,1.803902344,0.071246617,0.120718574
AAEL000255,5.744538776,-2.151761553,1.029065862,2.090985263,0.036529385,0.068256932
AAEL000256,46.00068328,0.90950405,0.374859604,-2.426252496,0.015255652,0.03196492
AAEL000257,58.74432465,-0.516813356,0.273723588,1.88808484,0.059014562,0.102865387
AAEL000258,202.0481579,0.642320203,0.207892093,-3.089680783,0.002003717,0.005222895
AAEL000260,32.87697315,-2.260460774,0.440138006,5.135800005,2.81E-07,1.44E-06
AAEL000261,16.26921459,-1.544290228,0.563259833,2.741701322,0.006112189,0.014118144
AAEL000263,35.43116069,-4.127236689,0.627311585,6.579245127,4.73E-11,3.93E-10
AAEL000265,64.91750284,0.631948816,0.30309229,-2.085004591,0.037068884,0.069117199
AAEL000266,3.688791831,-1.284588601,1.318687219,0.974141997,0.32998604,0.426214353
AAEL000267,9.225812368,-5.931561217,1.313376861,4.516267488,6.29E-06,2.63E-05
AAEL000268,1.121429215,-0.182742289,1.791524717,0.102003777,0.918753677,0.941453142
AAEL000269,9485.07592,1.644906719,0.212492575,-7.741007981,9.86E-15,1.23E-13
AAEL000270,204.6140594,0.757601239,0.180399429,-4.199576693,2.67E-05,0.000100769
AAEL000271,426.8425489,2.10934143,0.164969125,-12.78628004,1.96E-37,1.41E-35
AAEL000272,37.30218865,-0.323364146,0.346722725,0.932630379,0.351010843,0.447026344
AAEL000275,199.6806843,0.447107317,0.189317586,-2.36167874,0.0181924,0.037179104
AAEL000276,115.9640696,-0.311047561,0.203127822,1.531289794,0.125697787,0.19369726
AAEL000278,222.2066066,0.606333875,0.201649422,-3.006871378,0.002639514,0.006687314
AAEL000279,95.12439124,1.38186677,0.223715262,-6.17689985,6.54E-10,4.73E-09
AAEL000281,15.2440182,-4.100407921,0.964301012,4.252207423,2.12E-05,8.12E-05
AAEL000282,17.70562038,-3.270710118,0.723776467,4.518950626,6.21E-06,2.60E-05
AAEL000283,10.9799473,1.775543785,0.613210903,-2.895486325,0.003785715,0.009223159
AAEL000284,71.36325878,0.50950339,0.252323385,-2.019247601,0.043461491,0.079255086
AAEL000285,0.310981348,2.428980612,4.080472857,-0.595269396,0.55166341,NA
AAEL000287,19.00264507,-0.967405464,0.518654335,1.865221978,0.062150296,0.107388501
AAEL000288,33.37806267,-0.161988736,0.363428045,0.445724368,0.65579636,0.731976418
AAEL000289,38.90710484,-0.48338992,0.335393933,1.441260182,0.149511192,0.223515223
AAEL000290,72.09324696,-0.337520882,0.26265906,1.285015188,0.198786977,0.281986648
AAEL000291,1685.827828,-0.289520163,0.162498651,1.781677326,0.074801867,0.125686316
AAEL000292,11.81512003,-1.449123174,0.697159739,2.078609955,0.037653215,0.069967821
AAEL000293,479.7103107,0.890478717,0.155667307,-5.720396494,1.06E-08,6.65E-08
AAEL000294,268.8837693,-1.385678636,0.247493241,5.598854454,2.16E-08,1.30E-07
AAEL000297,118.8355229,0.256865076,0.210848813,-1.218242932,0.223131669,0.309882766
AAEL000298,4.649642724,-1.7504972,1.186413458,1.475452919,0.140090817,0.211792623
AAEL000299,25.22192721,-1.075570501,0.425974965,2.524961768,0.011571088,0.025012481
AAEL000301,258.7250258,1.047636962,0.182830621,-5.730095748,1.00E-08,6.31E-08
AAEL000304,436.6518023,1.639785205,0.220200942,-7.446767437,9.57E-14,1.07E-12
AAEL000305,9.418830934,-0.753079558,0.648387424,1.161465399,0.245452686,0.335128962
AAEL000308,8.358787344,1.586495164,0.676530768,-2.345045102,0.019024778,0.038531717
AAEL000311,666.7149725,2.221000971,0.151993879,-14.61243693,2.34E-48,3.37E-46
AAEL000312,2.071992275,-3.777918812,1.707097479,2.213065662,0.026893119,0.052231953
AAEL000314,99.35655014,0.804993689,0.266645831,-3.018962215,0.002536422,0.006456077
AAEL000315,63.28076734,0.743350731,0.282198447,-2.634141826,0.008435025,0.018855438
AAEL000316,238.4373627,2.047058621,0.206649978,-9.905922287,3.92E-23,9.76E-22
AAEL000320,14.77647736,-6.611112499,1.260406975,5.245220497,1.56E-07,8.28E-07
AAEL000322,16.25918355,-0.808496828,0.525572255,1.538317176,0.123971082,0.191509312
AAEL000323,0.383471531,-1.347848398,3.547708801,0.379920809,0.7040042,NA
AAEL000324,11.67696882,-2.627508165,0.784871044,3.347694105,0.000814869,0.002314122
AAEL000326,0,#VALUE!,NA,NA,NA,NA
AAEL000327,16.74731087,-4.29786906,0.93496717,4.596812808,4.29E-06,1.84E-05
AAEL000328,340.3336964,-0.943200117,0.18741719,5.032623297,4.84E-07,2.40E-06
AAEL000329,0.248001496,2.428980612,4.080472857,-0.595269396,0.55166341,NA
AAEL000330,137.2141041,0.956959895,0.190976621,-5.010874578,5.42E-07,2.66E-06
AAEL000332,73.17511866,0.798162664,0.301281899,-2.649222096,0.008067729,0.018108522
AAEL000334,3.846372211,1.36783724,1.025552816,-1.333756018,0.182283829,0.262096749
AAEL000335,191.0082693,-6.653442064,1.380775026,4.818628625,1.45E-06,6.65E-06
AAEL000336,30.37708998,0.660065732,0.396928645,-1.662932974,0.096325853,0.155435438
AAEL000337,34.30511555,-0.36072202,0.376316928,0.958559111,0.337780899,0.433930256
AAEL000338,3.216692239,-4.409336251,1.581315915,2.788396808,0.005296962,0.012435396
AAEL000340,11.69781773,0.949757018,0.599369845,-1.584592595,0.113058929,0.17717928
AAEL000341,2.769961776,0.294948597,1.30403914,-0.226180786,0.821060814,0.867318694
AAEL000342,18.65349395,0.191190551,0.563057209,-0.339557948,0.734189451,0.79806643
AAEL000343,230.79619,-0.5900351,0.214975736,2.744659046,0.006057379,0.014016246
AAEL000344,0.248001496,2.428980612,4.080472857,-0.595269396,0.55166341,NA
AAEL000348,82.43536343,-1.030544033,0.339061057,3.039405473,0.002370456,0.006073743
AAEL000351,3.34625412,-1.62506481,1.224078278,1.327582426,0.184316093,0.264641402
AAEL000354,26.0901725,-2.68273579,0.522245873,5.136920993,2.79E-07,1.43E-06
AAEL000356,0,#VALUE!,NA,NA,NA,NA
AAEL000357,0,#VALUE!,NA,NA,NA,NA
AAEL000359,0,#VALUE!,NA,NA,NA,NA
AAEL000360,7.300643126,0.100632653,0.715880396,-0.14057188,0.888208164,0.917397446
AAEL000362,15.15261162,-0.946912453,0.524502742,1.805352722,0.071019504,0.120364881
AAEL000370,304.1895637,1.06079573,0.213997419,-4.957049183,7.16E-07,3.45E-06
AAEL000372,124.1076638,0.392003508,0.21335967,-1.837289623,0.066167151,0.113200035
AAEL000377,0,#VALUE!,NA,NA,NA,NA
AAEL000378,76.44100828,-0.603442463,0.279593366,2.158286056,0.030905598,0.058941905
AAEL000379,3.15154976,-4.383280123,1.534085802,2.857258778,0.004273173,0.010260939
AAEL000382,2.357154215,1.261473754,1.226208439,-1.028759641,0.303592636,0.398141215
AAEL000383,32.93447187,-1.191047131,0.396454037,3.004250224,0.002662363,0.006740108
AAEL000384,1.167531087,-0.077830631,1.772599091,0.043907634,0.96497803,0.973445356
AAEL000385,43.31111347,-0.503553987,0.313572492,1.605861482,0.108304348,0.171160833
AAEL000386,70.14629777,-0.035368154,0.250700525,0.141077304,0.887808873,0.917129588
AAEL000387,6.822013757,1.618493618,0.812120914,-1.992921978,0.046269991,0.083436228
AAEL000388,461.6875121,0.715452925,0.137758975,-5.193512261,2.06E-07,1.08E-06
AAEL000394,65.88642476,-0.020796571,0.254907181,0.081584876,0.934976828,0.952184015
AAEL000395,117.852203,-1.271960884,0.22044372,5.770002817,7.93E-09,5.04E-08
AAEL000396,21.09799238,-1.209935815,0.476781457,2.537715754,0.011157857,0.024191046
AAEL000397,3.915331223,-1.514619458,1.772656446,0.854434858,0.392864089,0.489762841
AAEL000399,3.194658141,5.8725039,2.485347516,-2.36285021,0.018134998,0.037079139
AAEL000401,6.38369408,-1.517215817,0.912961748,1.661861321,0.096540584,0.155758367
AAEL000403,16.95804928,-1.383444176,0.542203891,2.55152019,0.010725411,0.023377222
AAEL000404,36.67123548,-0.504495916,0.373542101,1.350573107,0.17683222,0.255301313
AAEL000405,121.8796447,0.925339515,0.290511256,-3.185210542,0.001446487,0.003892744
AAEL000406,6.240332429,-4.345791747,1.367065259,3.178920477,0.001478246,0.003971689
AAEL000407,134.315332,-0.234604129,0.214531515,1.093564871,0.274145863,0.36696514
AAEL000408,137.3737948,0.385674599,0.193310517,-1.995104068,0.046031531,0.083109139
AAEL000410,327.5949313,0.906727775,0.161304726,-5.621210229,1.90E-08,1.15E-07
AAEL000411,17.33121677,-3.021656557,0.680538224,4.440098217,8.99E-06,3.65E-05
AAEL000412,123.0649709,0.812445352,0.211217256,-3.846491367,0.000119821,0.000403178
AAEL000414,0,#VALUE!,NA,NA,NA,NA
AAEL000415,156.8072345,-1.217940388,0.315530832,3.859972669,0.0001134,0.00038354
AAEL000416,81.08672781,-5.007483677,0.526002729,9.519881558,1.73E-21,3.86E-20
AAEL000417,204.8850595,-0.632789155,0.174054662,3.63557716,0.000277359,0.000861186
AAEL000418,188.3727868,-1.106810087,0.221644179,4.993634798,5.93E-07,2.90E-06
AAEL000419,19.13632159,2.346185167,0.490742574,-4.780887759,1.75E-06,7.92E-06
AAEL000420,53.76310163,1.456991733,0.332224611,-4.385562315,1.16E-05,4.63E-05
AAEL000421,36.7918975,-2.375560382,0.437106105,5.434745367,5.49E-08,3.10E-07
AAEL000422,147.2194705,0.05255125,0.185379048,-0.283479989,0.776808919,0.832378796
AAEL000424,580.1357327,0.344568087,0.131675922,-2.616788867,0.008876122,0.019740448
AAEL000425,10.44158807,-0.223626803,0.637465037,0.350806382,0.725733609,0.791434904
AAEL000427,484.4245871,1.361266863,0.220977208,-6.160213877,7.26E-10,5.23E-09
AAEL000428,396.2117403,2.023238631,0.170509834,-11.86581787,1.78E-32,9.61E-31
AAEL000429,18.30164185,-2.192443342,0.570091934,3.845771555,0.000120174,0.00040426
AAEL000431,286.2378559,-0.602394031,0.180573486,3.336004886,0.000849917,0.002402201
AAEL000432,0,#VALUE!,NA,NA,NA,NA
AAEL000433,23.55064623,-5.396912488,1.079468276,4.99960268,5.74E-07,2.81E-06
AAEL000434,53.79716367,0.154932411,0.291649185,-0.531228679,0.595260322,0.678921049
AAEL000435,67.69699074,-0.5404553,0.268541549,2.012557469,0.044161205,0.080318728
AAEL000436,832.1277521,1.842843944,0.178399,-10.32990062,5.16E-25,1.59E-23
AAEL000438,315.0426516,2.577861725,0.204602701,-12.59935332,2.13E-36,1.43E-34
AAEL000439,21.53250015,-0.785299166,0.478956399,1.639604706,0.101087384,0.161685533
AAEL000440,97.26301024,-0.124530435,0.241262334,0.516161941,0.60574131,0.688120448
AAEL000441,0.774503528,-2.361604441,2.335591883,1.011137459,0.311950644,NA
AAEL000442,695.5280049,-7.339181911,1.918246639,3.825984502,0.00013025,0.000435586
