,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,147.8943975,-0.429290047,0.198265991,2.165222809,0.030370626,0.053304241
AAEL000004,30.42096033,-1.098333081,0.241328146,4.551201752,5.33E-06,1.73E-05
AAEL000005,36.37567962,-2.549842494,0.265029069,9.620991765,6.52E-22,7.52E-21
AAEL000006,54.18321084,-6.520510136,0.575417802,11.33178382,9.13E-30,1.54E-28
AAEL000008,16.87646793,-1.10873531,0.347990857,3.186104709,0.001442024,0.003288373
AAEL000010,7866.318726,0.654420878,0.18522053,-3.533198384,0.000410564,0.001027101
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0.099971272,-0.119796191,3.475861637,0.034465178,0.97250621,NA
AAEL000013,26.76718074,-0.88811651,0.281417836,3.155864325,0.001600233,0.003618775
AAEL000016,93.90170483,-0.331819563,0.206511393,1.606785749,0.108101375,0.164829804
AAEL000017,4.551617983,0.779786149,1.225146233,-0.636484142,0.524460914,0.611409418
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,79.46918795,0.515098506,0.186647841,-2.759734601,0.005784834,0.011811294
AAEL000021,0.510978492,-2.486409884,1.824550183,1.362752259,0.172960602,0.24596481
AAEL000022,86.36512018,1.026246517,0.15497785,-6.621891549,3.55E-11,1.94E-10
AAEL000024,21.11983262,-2.188760099,0.337853987,6.478420219,9.27E-11,4.89E-10
AAEL000025,3.500872204,-2.721236204,0.925909805,2.938986269,0.003292877,0.007021656
AAEL000026,28.65986785,-2.263418604,0.300676395,7.527756216,5.16E-14,3.56E-13
AAEL000027,0.428472487,0.856177298,2.407700543,-0.355599578,0.72214046,0.782937703
AAEL000028,289.5792222,-2.584038919,0.213094408,12.12626341,7.67E-34,1.54E-32
AAEL000029,0.607360354,-2.734842221,1.710940752,1.598443557,0.109944297,0.167314779
AAEL000032,15202.70308,0.826512752,0.097592903,-8.46898419,2.48E-17,2.17E-16
AAEL000033,26.63399852,-1.636729145,0.287099006,5.70092236,1.19E-08,5.19E-08
AAEL000035,2.202886974,-4.005755864,1.068848033,3.747731894,0.000178441,0.000470305
AAEL000036,0.049985636,0.862443848,3.53381767,-0.244054427,0.807188667,NA
AAEL000037,41.60104989,-5.321000466,0.451147541,11.79436877,4.17E-32,7.79E-31
AAEL000038,127.5449628,1.137784933,0.324901746,-3.501935416,0.000461892,0.001146975
AAEL000039,0.205369233,1.343334188,3.53381767,-0.380136813,0.70384386,NA
AAEL000041,0.046396226,0.862443848,3.53381767,-0.244054427,0.807188667,NA
AAEL000042,36.58568295,-1.438028112,0.570728097,2.519637846,0.011747563,0.022631641
AAEL000043,0.261094776,0.48432294,2.585659944,-0.187311151,0.85141668,NA
AAEL000044,233.4068214,3.908605713,0.289457615,-13.50320568,1.50E-41,3.90E-40
AAEL000046,53.75073669,-0.434840804,0.188442211,2.307555199,0.021023889,0.038273773
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,0.362073938,-1.992898544,2.204672985,0.903942924,0.366025667,0.460613272
AAEL000049,60.69580088,1.165565778,0.506570729,-2.300894446,0.021397598,0.038848974
AAEL000050,98.64840517,0.508213699,0.342973611,-1.481786592,0.138397088,0.203617544
AAEL000051,6.387856009,0.287525431,0.642373178,-0.447598749,0.654442806,0.726773923
AAEL000053,44.22651534,-0.523293014,0.221462298,2.362898874,0.018132617,0.033423731
AAEL000055,38.10208584,-0.589352946,0.220206218,2.676368318,0.007442481,0.014858666
AAEL000057,0.762800137,-0.191849791,1.385703951,0.138449335,0.889885309,0.915616151
AAEL000058,0.17543668,-0.950110556,3.413546568,0.278335314,0.78075497,NA
AAEL000063,0.046396226,0.862443848,3.53381767,-0.244054427,0.807188667,NA
AAEL000064,34.98147466,-5.873033977,0.584876027,10.0415023,1.00E-23,1.28E-22
AAEL000065,9.431596111,-1.904319796,0.461818937,4.123520378,3.73E-05,0.000108304
AAEL000066,0.180510792,-0.988185907,3.41144054,0.28966822,0.772070072,NA
AAEL000069,0.331404373,2.786015942,3.126846938,-0.890998504,0.372929973,0.466889554
AAEL000071,0.24274936,-1.408850958,3.363911241,0.418813356,0.675352543,NA
AAEL000073,6.264371765,-6.102556959,0.931397932,6.552040489,5.68E-11,3.05E-10
AAEL000074,95.48474719,-3.656594777,0.244895449,14.93124835,2.06E-50,6.83E-49
AAEL000075,0.898164594,0.502360448,1.268092662,-0.396154368,0.691991152,0.758849263
AAEL000076,58.92979776,-0.390627498,0.184857651,2.113125943,0.03458999,0.059935335
AAEL000077,74.33760369,1.378138989,0.219932046,-6.266203653,3.70E-10,1.85E-09
AAEL000079,561.78054,0.15005534,0.12519471,-1.198575727,0.230692961,0.314544876
AAEL000080,67.80764304,0.011353364,0.56831894,-0.0199771,0.984061641,0.988188712
AAEL000081,130.0449315,-1.511080387,0.303526097,4.978419981,6.41E-07,2.31E-06
AAEL000084,131.4626811,0.177061445,0.136606301,-1.296144054,0.19492586,0.272672307
AAEL000085,1.821745743,2.608052128,1.344961595,-1.939127584,0.052485805,0.087169876
AAEL000087,17.58413506,-7.095911532,0.873590681,8.122695998,4.56E-16,3.66E-15
AAEL000088,33.00789654,0.251609412,0.299232543,-0.840849094,0.40043248,0.494831144
AAEL000089,0.351736731,-0.591621544,2.362425345,0.250429731,0.80225504,0.849329807
AAEL000090,224.507133,1.230104591,0.151692232,-8.109212788,5.09E-16,4.07E-15
AAEL000091,50.47055303,-0.784259574,0.20356914,3.852546479,0.000116896,0.000315783
AAEL000092,334.9953077,4.010467628,0.178285993,-22.49457489,4.69E-112,6.76E-110
AAEL000094,2.131290097,0.277232203,1.061300868,-0.261219237,0.793923444,0.843036417
AAEL000095,0.149956908,-0.708552316,3.428247381,0.206680626,0.836259289,NA
AAEL000097,0.236622894,-1.37280607,2.459724738,0.558113698,0.576766747,NA
AAEL000098,0.312088302,-1.777842889,3.137994571,0.566553845,0.571017341,NA
AAEL000099,37.62567937,-7.228063348,0.847976643,8.52389439,1.54E-17,1.37E-16
AAEL000101,92.6095612,1.811033429,0.215113952,-8.418949175,3.80E-17,3.27E-16
AAEL000102,179.6107253,0.378075641,0.142359577,-2.655779464,0.007912534,0.015734849
AAEL000106,11.29933874,0.451912346,0.383745719,-1.177634884,0.238942196,0.324290173
AAEL000107,12.20711018,-0.782385866,0.419740432,1.86397546,0.062325151,0.101565048
AAEL000108,0.319699469,-1.810900157,3.124051165,0.579664052,0.56214119,NA
AAEL000109,8.44115578,-2.39777286,2.505004181,0.957193157,0.33846977,0.431782775
AAEL000111,100.5477605,-4.39096368,0.257881037,17.02709023,5.17E-65,2.58E-63
AAEL000113,0,#VALUE!,NA,NA,NA,NA
AAEL000115,44.21866179,-1.048573728,0.203792144,5.145309853,2.67E-07,1.00E-06
AAEL000116,20.61133259,-1.613236421,0.331269646,4.869858853,1.12E-06,3.91E-06
AAEL000117,0.049985636,0.862443848,3.53381767,-0.244054427,0.807188667,NA
AAEL000118,59.83874058,-0.731306204,0.223432581,3.273050874,0.001063933,0.002477775
AAEL000119,20.08255699,0.493083403,0.335574939,-1.469368971,0.141732739,0.207875664
AAEL000122,32.63945683,-1.899008466,0.258821686,7.337130431,2.18E-13,1.43E-12
AAEL000123,0.798639376,-3.128969257,1.570000748,1.9929731,0.046264393,0.077955281
AAEL000124,30.23397098,-3.553155599,0.486888184,7.297682953,2.93E-13,1.90E-12
AAEL000126,51.27478239,0.471507522,0.413043699,-1.141543917,0.253643647,0.340610628
AAEL000127,14.53365365,2.028551531,0.371333214,-5.462887385,4.68E-08,1.91E-07
AAEL000128,448.8588025,1.290133286,0.114190726,-11.2980566,1.34E-29,2.25E-28
AAEL000134,2.04587548,-3.879764687,1.16909951,3.318592348,0.000904724,0.002131238
AAEL000137,24.24664417,0.98459026,0.317396882,-3.102079178,0.001921666,0.004283946
AAEL000138,455.5187698,0.128686558,0.121136878,-1.062323541,0.288088831,0.378870873
AAEL000139,1.243789889,-3.771054269,1.338607333,2.817147476,0.004845227,0.010049703
AAEL000140,21.86347701,-0.530566859,0.326157513,1.626719721,0.103796638,0.159130051
AAEL000143,78.99048009,-0.005347077,0.158443718,0.033747485,0.973078513,0.979317529
AAEL000146,6.914408565,4.609344021,0.945453263,-4.875274328,1.09E-06,3.81E-06
AAEL000147,13.23434914,-1.011169213,0.375834222,2.690466046,0.00713523,0.014324199
AAEL000148,8.986180094,-1.034197401,0.476905243,2.168559511,0.030116142,0.052929925
AAEL000149,40.28708643,-3.347155796,0.301524996,11.10075728,1.24E-28,2.02E-27
AAEL000151,0.092792452,-0.026037731,3.48532363,0.007470678,0.994039317,NA
AAEL000152,1.579797027,0.434990277,1.182500961,-0.367856172,0.712980482,0.775267493
AAEL000154,8.913762955,-4.640275634,0.794123537,5.84326672,5.12E-09,2.32E-08
AAEL000157,25.6401833,-2.430755057,0.298307402,8.148490582,3.68E-16,2.98E-15
AAEL000159,93.53226001,0.328451422,0.153556702,-2.138958558,0.032439025,0.056548137
AAEL000162,1.874565559,1.007052151,1.005031388,-1.002010646,0.316338451,0.409353604
AAEL000163,118.9560749,0.831489488,0.139303207,-5.968918479,2.39E-09,1.11E-08
AAEL000164,98.11229399,3.733436014,0.227364312,-16.42050141,1.36E-60,6.08E-59
AAEL000165,130.0917013,-7.279875101,0.500088261,14.55718054,5.26E-48,1.64E-46
AAEL000166,10.87411508,-0.536105887,0.372858161,1.437827957,0.150482875,0.21893631
AAEL000170,12.90110329,-2.740379895,0.426122218,6.430971628,1.27E-10,6.58E-10
AAEL000172,198.338445,-1.40570018,0.179437725,7.83391662,4.73E-15,3.54E-14
AAEL000173,105.0566373,-0.51121991,0.149782703,3.413077083,0.000642338,0.001551694
