,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,280.2213817,-0.632559132,0.229130281,2.760696358,0.005767827,0.013070421
AAEL000004,66.23693174,-1.100767516,0.319875428,3.441238122,0.000579059,0.001622928
AAEL000005,92.91210422,-2.350169458,0.284280322,8.267084544,1.37E-16,1.48E-15
AAEL000006,216.4447634,-1.240500666,0.206189722,6.016307003,1.78E-09,1.02E-08
AAEL000008,31.18588075,-2.011896346,0.454988501,4.421861961,9.79E-06,3.57E-05
AAEL000010,7841.948555,-1.171298335,0.215793533,5.427865797,5.70E-08,2.76E-07
AAEL000011,1.520979211,4.376280776,2.427332365,-1.80291782,0.071401122,0.119895605
AAEL000012,0.284516559,-1.33285157,4.031081261,0.330643687,0.740913643,NA
AAEL000013,64.51371386,-0.410099892,0.292903911,1.400117502,0.161478135,0.236636082
AAEL000016,256.3749826,0.553096019,0.257575062,-2.147319756,0.031767834,0.059087237
AAEL000017,3.694345867,-1.9049274,1.821338887,1.045893992,0.295609978,0.388347626
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,148.8856957,0.606913298,0.210698766,-2.880478651,0.003970718,0.00931839
AAEL000021,20.33886358,3.680548989,0.638074307,-5.768213746,8.01E-09,4.28E-08
AAEL000022,111.7623886,0.37782794,0.299471852,-1.261647589,0.207075624,0.289864187
AAEL000024,121.3871407,0.91994058,0.263977437,-3.484921247,0.000492282,0.001394615
AAEL000025,11.91731873,-0.890264174,0.683240474,1.303002687,0.192573844,0.272925189
AAEL000026,83.84698095,-1.157658454,0.343552886,3.369665927,0.000752594,0.00205504
AAEL000027,2.041360991,2.682044511,1.809148571,-1.482489915,0.138209985,0.207927982
AAEL000028,2070.632348,1.218563617,0.28019512,-4.348982294,1.37E-05,4.89E-05
AAEL000029,2.348528634,-1.516086182,1.461436195,1.037394713,0.299551941,0.392562085
AAEL000032,15062.51263,-0.804875495,0.101425935,7.935598509,2.09E-15,2.07E-14
AAEL000033,76.52846232,-0.617078994,0.278631108,2.214680904,0.026781975,0.051021496
AAEL000035,130.7065952,4.413753464,0.975377077,-4.525176538,6.03E-06,2.27E-05
AAEL000036,0.56248573,1.534055668,3.009195637,-0.509789277,0.610199099,NA
