,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,200.1279804,-0.68888655,0.226422217,3.042486549,0.002346323,0.005090329
AAEL000004,39.43903772,-2.237256901,0.416069913,5.377117722,7.57E-08,3.15E-07
AAEL000005,67.694599,-2.291789285,0.380239657,6.027223203,1.67E-09,8.42E-09
AAEL000006,120.6465937,-3.346066766,0.303656022,11.01926693,3.09E-28,5.12E-27
AAEL000008,26.3730926,-1.152779881,0.424785299,2.713794199,0.006651748,0.013167486
AAEL000010,10386.06649,0.717170523,0.17927163,-4.000468591,6.32E-05,0.000179513
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0.206110095,-0.403686011,4.030939813,0.100146871,0.920227724,NA
AAEL000013,44.41177275,-0.582407368,0.336543111,1.730557983,0.083530631,0.125105365
AAEL000016,125.3925021,-0.592105986,0.21887674,2.705202872,0.006826269,0.013487167
AAEL000017,9.174807494,1.730186715,1.472073963,-1.175339527,0.239858907,0.308967293
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,93.69645881,0.256140213,0.227440814,-1.126184035,0.26008763,0.330687758
AAEL000021,1.059442203,-2.777612902,2.028889147,1.369031377,0.170989467,0.23197956
AAEL000022,90.20772018,0.643867517,0.262588825,-2.451998926,0.014206509,0.026117075
AAEL000024,30.74786705,-6.659055501,1.220674946,5.455224196,4.89E-08,2.08E-07
AAEL000025,6.079033192,-3.37656428,1.297296435,2.602770029,0.009247396,0.017813084
AAEL000026,52.40142185,-2.013838256,0.381304832,5.281439123,1.28E-07,5.19E-07
AAEL000027,0.499375118,0.562343192,3.463320227,-0.162371122,0.87101361,NA
AAEL000028,487.7752846,-3.590983713,0.211946619,16.94286863,2.17E-64,9.25E-63
AAEL000029,1.258954046,-3.025514583,1.924923351,1.571758471,0.116006576,0.166215981
AAEL000032,17994.65558,0.675262581,0.105629481,-6.392747301,1.63E-10,9.10E-10
AAEL000033,41.99519252,-1.971386895,0.373112806,5.283621634,1.27E-07,5.14E-07
AAEL000035,4.23776881,-4.77761382,1.439558584,3.318804717,0.000904036,0.002119815
AAEL000036,0.103055047,0.571820137,4.080472857,-0.140135753,0.888552732,NA
AAEL000037,95.84643536,-2.586679421,0.281140337,9.200669845,3.56E-20,4.06E-19
AAEL000038,203.61983,1.660222327,0.171127148,-9.701688739,2.97E-22,3.87E-21
AAEL000039,0.096456796,0.571820137,4.080472857,-0.140135753,0.888552732,NA
AAEL000041,0.389721819,1.533596472,3.676038648,-0.417187255,0.676541447,NA
AAEL000042,55.69349884,-1.831769852,0.468645622,3.908646032,9.28E-05,0.000257262
AAEL000043,0.187569265,-0.285128496,4.041395299,0.070551994,0.943754319,NA
AAEL000044,24.95561245,-0.727816559,0.44365493,1.640501456,0.100900946,0.147493377
AAEL000046,64.56340894,-1.2242208,0.328726532,3.724131407,0.000195989,0.000515928
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,0.751530984,-2.286376181,2.382865269,0.959507116,0.337303337,NA
