,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,477.1378052,-0.185064116,0.119403272,1.549908253,0.121163539,0.195827606
AAEL000004,144.3021466,0.200515473,0.191916248,-1.044807175,0.296112098,0.407974732
AAEL000005,357.4712373,1.065176327,0.142200283,-7.490676578,6.85E-14,5.82E-13
AAEL000006,631.4934069,0.842216014,0.13484195,-6.24594951,4.21E-10,2.63E-09
AAEL000008,73.17253604,-0.055180403,0.254642259,0.216697743,0.828443907,0.882078286
AAEL000010,11333.64783,-1.317604079,0.117857888,11.17960026,5.13E-29,9.17E-28
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,1.417133694,1.254400221,1.968707158,-0.637169533,0.524014421,0.632990672
AAEL000013,143.3389556,0.693277209,0.19315046,-3.589311725,0.000331552,0.000975623
AAEL000016,370.9393883,0.479774045,0.134201758,-3.575020559,0.0003502,0.001026626
AAEL000017,8.103297539,-0.216138292,0.962448515,0.224571277,0.822312811,0.877537059
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,163.9838423,-0.205378861,0.180263601,1.139325192,0.254567545,0.361407173
AAEL000021,2.839200061,-1.705702918,1.279037979,1.333582697,0.182340657,0.274635338
AAEL000022,159.3609735,0.257431887,0.190169729,-1.353695397,0.175833577,0.266332902
AAEL000024,65.19806258,-4.599821583,0.417535014,11.01661281,3.18E-28,5.52E-27
AAEL000025,11.80607959,-5.41102661,1.206885042,4.483464805,7.34E-06,2.79E-05
AAEL000026,242.3041752,0.851386942,0.17942711,-4.745029554,2.08E-06,8.61E-06
AAEL000027,0.424987587,-2.479997003,4.030748623,0.615269578,0.538376705,NA
AAEL000028,1108.419988,-2.35364621,0.117421294,20.04445808,2.26E-89,1.69E-87
AAEL000029,2.72272423,-4.136772005,1.670329914,2.47661972,0.013263313,0.028280437
AAEL000032,19381.04044,-1.479011693,0.064148785,23.05595808,1.28E-117,1.90E-115
AAEL000033,204.9775039,0.975603105,0.166071989,-5.874579519,4.24E-09,2.42E-08
AAEL000035,9.233614934,-4.022262091,0.974584403,4.127156231,3.67E-05,0.000126215
AAEL000036,0.212493793,-1.502300436,4.080472857,0.368168222,0.712747804,NA
AAEL000037,170.9123223,-6.468978066,0.419403472,15.42423584,1.12E-53,3.80E-52
AAEL000038,208.6553639,0.099882869,0.162585995,-0.614338699,0.538991535,0.646831806
AAEL000039,0.319825115,-0.540528398,4.025510839,0.134275728,0.893184546,NA
AAEL000041,0.84307283,1.607726024,2.544090726,-0.63194524,0.52742266,NA
AAEL000042,192.21977,0.191993904,0.174737766,-1.098754489,0.271875168,0.380782483
AAEL000043,0.652417546,-0.533391689,2.826713794,0.188696744,0.850330504,NA
AAEL000044,32.18069423,-7.766575222,1.23840175,6.271450456,3.58E-10,2.25E-09
AAEL000046,213.7529812,0.387346141,0.159344621,-2.43087052,0.015062596,0.031698257
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,3.712496671,0.468876765,1.140336833,-0.41117392,0.68094501,0.768726895
AAEL000049,53.65857024,-2.870314254,0.370505242,7.74702739,9.41E-15,8.44E-14
AAEL000050,198.214975,-0.301016418,0.166454356,1.808402159,0.070543932,0.123745675
AAEL000051,8.842380638,-3.027622022,0.913622991,3.313863653,0.000920164,0.002497816
AAEL000053,205.2787819,0.675754049,0.167321528,-4.038655743,5.38E-05,0.0001802
AAEL000055,131.4494036,-0.17105573,0.191550696,0.893005003,0.371854494,0.487601192
AAEL000057,4.583715936,1.497885696,1.04388506,-1.434914392,0.151311494,0.23474759
AAEL000058,0.755867943,-3.330958772,3.25042706,1.024775733,0.305469019,NA
AAEL000063,0.196701296,-1.502300436,4.080472857,0.368168222,0.712747804,NA
AAEL000064,345.8725356,0.481022014,0.14239856,-3.377997733,0.000730157,0.002021895
AAEL000065,65.09132362,0.556039724,0.288739158,-1.925751006,0.054135472,0.0981735
AAEL000066,3.204697595,1.636037147,1.283481473,-1.274686999,0.20242005,0.298915951
AAEL000069,0,#VALUE!,NA,NA,NA,NA
AAEL000071,1.154007791,-2.799049633,2.327678515,1.202506968,0.229167168,0.33072882
AAEL000073,27.96495617,-4.447612267,0.611222903,7.27657986,3.42E-13,2.77E-12
AAEL000074,451.0362646,-1.81941409,0.138007814,13.18341354,1.09E-39,2.64E-38
AAEL000075,2.038290676,0.077848333,1.451172225,-0.053645137,0.957217894,0.972309635
AAEL000076,188.6173364,-0.15726622,0.163130457,0.964051858,0.335019927,0.449713741
AAEL000077,98.81701001,-0.101210846,0.240951772,0.420046073,0.674451796,0.763084289
AAEL000079,2156.360593,0.923099026,0.098599306,-9.362125002,7.81E-21,9.96E-20
