,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,224.7727008,-0.540053127,0.218222853,2.474778049,0.0133319,0.028519685
AAEL000004,42.89865538,-2.222346617,0.395705681,5.616160505,1.95E-08,1.17E-07
AAEL000005,73.79429051,-2.2190933,0.314361408,7.059051291,1.68E-12,1.69E-11
AAEL000006,177.2650819,-1.016563785,0.354194118,2.870075282,0.004103741,0.009992071
AAEL000008,30.92783465,-0.782230261,0.399841761,1.956349582,0.050423987,0.090695096
AAEL000010,7741.311617,-0.28374181,0.214421084,1.32329249,0.185738128,0.272600832
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0.224028097,-0.626182551,4.030362963,0.155366293,0.876532556,NA
AAEL000013,45.6742071,-0.769251513,0.322682755,2.383925085,0.017129089,0.035608319
AAEL000016,133.2545611,-0.647348375,0.227080315,2.850746328,0.004361675,0.010568554
AAEL000017,2.787135527,-2.185321881,1.958062196,1.116063568,0.264394925,0.36370832
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,124.4482419,0.760905001,0.222216145,-3.424166145,0.000616689,0.001802064
AAEL000021,1.389608933,-2.031124215,1.821244031,1.115240012,0.264747584,0.364081958
AAEL000022,103.109865,0.765971596,0.269907525,-2.837903816,0.004541086,0.010944246
AAEL000024,196.6550152,2.31558007,0.209632747,-11.04588906,2.29E-28,6.98E-27
AAEL000025,13.12107375,0.230534533,0.668468364,-0.344869773,0.730192276,0.799415279
AAEL000026,62.99375988,-1.3635968,0.327236157,4.167011413,3.09E-05,0.000113703
AAEL000027,0.468897272,0.339543833,3.529347755,-0.096205831,0.9233571,NA
AAEL000028,1708.011371,1.326619007,0.160152511,-8.283473032,1.20E-16,1.77E-15
AAEL000029,3.076599952,0.370947511,1.205436754,-0.307728721,0.758288763,0.821235749
AAEL000032,16617.11988,0.284519318,0.160160951,-1.776458723,0.07565734,0.128741662
AAEL000033,44.08495546,-2.218773817,0.378290992,5.865256813,4.48E-09,2.95E-08
AAEL000035,37.85366824,2.861401488,0.386370405,-7.405850575,1.30E-13,1.46E-12
AAEL000036,0.112014048,0.356164886,4.080472857,-0.087285199,0.930444819,NA
AAEL000037,296.7345526,1.228479709,0.306780766,-4.004422197,6.22E-05,0.000218362
AAEL000038,225.2598821,1.701494449,0.207365471,-8.205293018,2.30E-16,3.28E-15
AAEL000039,0.102864408,0.356164886,4.080472857,-0.087285199,0.930444819,NA
AAEL000041,0.642763137,2.247232443,2.720137318,-0.82614669,0.408720885,NA
AAEL000042,73.9591951,-0.814574692,0.27033553,3.013198794,0.002585095,0.00660336
