,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,76.89773213,-0.944307552,0.255910323,3.689993985,0.000224259,0.001405265
AAEL000004,12.8521061,-0.912695348,0.424531937,2.149886188,0.031564218,0.104400339
AAEL000005,9.867495488,0.100530952,0.456930044,-0.220013881,0.825860344,0.92490322
AAEL000006,0.985382622,-1.008212056,1.83462215,0.549547522,0.582629761,0.786113885
AAEL000008,8.901256099,0.231910959,0.52717838,-0.439909843,0.660002406,0.835567605
AAEL000010,5097.372039,-1.083559281,0.17318381,6.256700803,3.93E-10,5.69E-09
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0,#VALUE!,NA,NA,NA,NA
AAEL000013,16.65512968,0.543812692,0.390281484,-1.393385835,0.163503147,0.366299039
AAEL000016,53.9723627,-0.489842292,0.268042384,1.827480732,0.067627521,0.192663058
AAEL000017,4.863038649,1.020200402,0.907448319,-1.124251795,0.260906222,0.496234062
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,63.32452753,0.154899661,0.216434422,-0.715688657,0.474183617,0.705522474
AAEL000021,0,#VALUE!,NA,NA,NA,NA
AAEL000022,81.76976579,0.502122876,0.177902455,-2.822461758,0.004765651,0.021440551
AAEL000024,4.88240911,-2.442671578,0.931823143,2.621389688,0.00875721,0.036089424
AAEL000025,0.557776798,-2.342395825,2.418720692,0.968444117,0.332822615,NA
AAEL000026,8.17195138,-0.3294604,0.503982464,0.653714014,0.513296073,0.737661759
AAEL000027,0.33878224,-0.188423174,2.672947352,0.070492662,0.943801541,NA
AAEL000028,54.73792001,-2.39980266,0.343393586,6.988490047,2.78E-12,5.01E-11
AAEL000029,0,#VALUE!,NA,NA,NA,NA
AAEL000032,9860.293778,-1.299007309,0.112339238,11.56325543,6.33E-31,4.35E-29
AAEL000033,10.30269003,-0.223784489,0.475536517,0.4705937,0.637930907,0.823720285
AAEL000035,0.110796356,-0.669300694,3.53380296,0.189399551,0.849779676,NA
AAEL000036,0,#VALUE!,NA,NA,NA,NA
AAEL000037,2.037719856,-0.008950676,1.026425972,0.008720235,0.993042347,0.997033748
AAEL000038,116.7999338,0.334706606,0.313631703,-1.067196342,0.285883184,0.527736325
AAEL000039,0.110796356,-0.669300694,3.53380296,0.189399551,0.849779676,NA
AAEL000041,0,#VALUE!,NA,NA,NA,NA
AAEL000042,15.23907415,-0.266444478,0.639551108,0.416611706,0.676962446,0.843689108
AAEL000043,0.118458809,-0.669300694,3.53380296,0.189399551,0.849779676,NA
AAEL000044,362.3590343,1.402975941,0.286443508,-4.897914951,9.69E-07,9.16E-06
AAEL000046,28.63053836,-0.764946306,0.296663641,2.578496995,0.009923116,0.04017126
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,0,#VALUE!,NA,NA,NA,NA
AAEL000049,41.1227276,-1.328258676,0.526368529,2.523438624,0.011621335,0.045847124
AAEL000050,68.53960598,-0.480399014,0.378324399,1.269807116,0.204153346,0.425616354
AAEL000051,3.233395526,-3.85229094,1.422708907,2.707715486,0.006774807,0.029089132
AAEL000053,30.48593064,0.516570707,0.315548691,-1.637055457,0.101618883,0.26156748
AAEL000055,22.50315112,-0.0000646,0.321792507,0.000200886,0.999839716,0.999971396
AAEL000057,0.439279099,-0.658141109,2.245610459,0.293078929,0.769461822,NA
AAEL000058,0,#VALUE!,NA,NA,NA,NA
AAEL000063,0,#VALUE!,NA,NA,NA,NA
AAEL000064,1.040246844,-0.551173414,1.83559863,0.300269027,0.763971957,0.890592148
AAEL000065,4.410654167,0.930777532,0.667056781,-1.395349779,0.162910388,0.365542689
AAEL000066,0,#VALUE!,NA,NA,NA,NA
AAEL000069,0.228011003,-1.150193036,3.53380296,0.32548307,0.744815494,NA
AAEL000071,0,#VALUE!,NA,NA,NA,NA
AAEL000073,0,#VALUE!,NA,NA,NA,NA
AAEL000074,10.13188435,-2.051096605,0.635392703,3.228077055,0.001246254,0.006620386
AAEL000075,0.670988248,-0.137259444,1.857276299,0.073903621,0.941087074,NA
AAEL000076,31.66507868,-0.800608355,0.290858087,2.752573816,0.005912881,0.02587121
AAEL000077,58.50991456,-0.480918687,0.237852916,2.021916296,0.043185,0.135613238
AAEL000079,435.7208929,0.332617002,0.156695147,-2.122701355,0.033778885,0.110643629
AAEL000080,36.76532426,-1.565507746,0.631565152,2.478774739,0.013183454,0.050859719
AAEL000081,48.56300392,-0.693064606,0.353967067,1.957991779,0.050230977,0.153528552
AAEL000084,89.63239567,-0.238088281,0.175755784,1.354654027,0.175527812,0.383913828
AAEL000085,1.273027022,-2.427778946,1.744818591,1.391421984,0.164097502,0.366957405
AAEL000087,0.110796356,-0.669300694,3.53380296,0.189399551,0.849779676,NA
AAEL000088,22.59980663,-0.27269477,0.360416185,0.756610778,0.449283082,0.6886167
AAEL000089,0.324460453,1.267985368,3.201606357,-0.396046617,0.692070638,NA
AAEL000090,208.2629755,0.332801111,0.183022812,-1.818358642,0.069009335,0.195434579
AAEL000091,32.10415722,0.507211484,0.261247752,-1.941496071,0.052198136,0.157872787
AAEL000092,263.5497874,-1.514886348,0.174898025,8.661540612,4.65E-18,1.34E-16
AAEL000094,1.041030358,-3.230019181,1.89480846,1.704667912,0.088256378,0.236418681
AAEL000095,0.085099908,0.773368323,3.53380296,-0.218848739,0.826767879,NA
AAEL000097,0,#VALUE!,NA,NA,NA,NA
AAEL000098,0.11062748,0.773368323,3.53380296,-0.218848739,0.826767879,NA
AAEL000099,0.332389067,-1.620370405,3.532506924,0.458702683,0.646447687,NA
AAEL000101,67.95663737,-1.216832169,0.247014359,4.926159652,8.39E-07,8.00E-06
AAEL000102,105.8923167,-1.460229201,0.199748294,7.310346299,2.66E-13,5.20E-12
AAEL000106,9.931786942,0.559758213,0.469655336,-1.191848936,0.233320484,0.464233424
AAEL000107,7.023507974,0.114525536,0.57710717,-0.198447605,0.842694875,0.934693314
AAEL000108,0,#VALUE!,NA,NA,NA,NA
AAEL000109,3.180441111,0.973230224,3.269208298,-0.297695997,0.765935199,0.891873479
AAEL000111,7.179141638,-1.432892521,0.735301751,1.948713598,0.051329637,0.15593257
AAEL000113,0,#VALUE!,NA,NA,NA,NA
AAEL000115,19.23869723,-0.818052628,0.351976981,2.324165138,0.020116645,0.07251625
AAEL000116,9.838482455,0.565274518,0.490218436,-1.153107425,0.248866294,0.482279775
AAEL000117,0,#VALUE!,NA,NA,NA,NA
AAEL000118,31.50472852,-0.34796722,0.329320244,1.056622621,0.290683852,0.533740823
AAEL000119,19.86419896,0.912553729,0.467081048,-1.953737435,0.050732277,0.154759493
AAEL000122,11.31884151,-0.201063209,0.445367099,0.45145501,0.651661643,0.830697292
