,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,84.11196308,-1.170559833,0.220228398,5.315208396,1.07E-07,4.89E-07
AAEL000004,14.53015273,-0.90769368,0.350292701,2.591243483,0.009562981,0.02219158
AAEL000005,11.66078171,0.066619608,0.408948391,-0.162904684,0.870593483,0.909281741
AAEL000006,2.000011303,1.010598949,1.149323352,-0.879299065,0.379239143,0.499741864
AAEL000008,9.868408857,-0.040123861,0.431978872,0.092883849,0.925995837,0.949454897
AAEL000010,5525.984884,-1.361131572,0.153734331,8.853790603,8.46E-19,7.99E-18
AAEL000011,0,#VALUE!,NA,NA,NA,NA
AAEL000012,0.070458926,-0.050796948,3.225918525,0.015746507,0.987436625,NA
AAEL000013,15.93335919,-0.249201751,0.328849872,0.757797925,0.448571965,0.567683281
AAEL000016,60.80863822,-0.623292056,0.228428337,2.728610922,0.00636017,0.015420216
AAEL000017,3.540661231,-0.914718969,1.362802153,0.671204523,0.502090247,0.619446753
AAEL000018,0,#VALUE!,NA,NA,NA,NA
AAEL000020,76.85682072,0.222219527,0.177574213,-1.251417776,0.210782095,0.318714201
AAEL000021,0,#VALUE!,NA,NA,NA,NA
AAEL000022,77.66629871,-0.343678517,0.152350224,2.255845176,0.024080329,0.050622238
AAEL000024,33.91032114,3.210236783,0.383485733,-8.371202638,5.70E-17,4.92E-16
AAEL000025,1.007128294,0.058040522,1.283514748,-0.045219988,0.963931962,0.974393544
AAEL000026,9.117530016,-0.497098319,0.417179691,1.191568836,0.233430351,0.345334075
AAEL000027,0.366231171,-0.330185911,2.463084656,0.134053822,0.893360015,NA
AAEL000028,317.4642413,2.895847955,0.201069168,-14.40224766,5.01E-47,1.57E-45
AAEL000029,0.070458926,-0.050796948,3.225918525,0.015746507,0.987436625,NA
AAEL000032,10986.80297,-1.35056473,0.114245073,11.82164532,3.02E-32,5.42E-31
AAEL000033,12.51517362,-0.051609494,0.394050759,0.13097169,0.895797702,0.927408824
AAEL000035,0.187977651,-0.53169029,3.225918525,0.164818264,0.869087028,NA
AAEL000036,0,#VALUE!,NA,NA,NA,NA
AAEL000037,6.790550097,2.465809623,0.676348539,-3.645767649,0.000266595,0.000823311
AAEL000038,147.1665603,0.475502097,0.290474999,-1.63698115,0.101634408,0.177537877
AAEL000039,0.117518725,-1.2530258,3.225918525,0.388424503,0.697701914,NA
AAEL000041,0,#VALUE!,NA,NA,NA,NA
AAEL000042,22.42339444,0.544450447,0.546186755,-0.996821037,0.318851385,0.439617909
AAEL000043,0.418549204,1.215917818,1.950687123,-0.623327956,0.53306903,NA
AAEL000044,170.9637617,-4.484397736,0.383823273,11.68349616,1.55E-31,2.68E-30
AAEL000046,32.66775343,-0.7736016,0.243362423,3.178804641,0.001478837,0.004047075
AAEL000047,0,#VALUE!,NA,NA,NA,NA
AAEL000048,0,#VALUE!,NA,NA,NA,NA
AAEL000049,53.38859399,-0.503936812,0.5179888,0.972872023,0.330616911,0.452051271
AAEL000050,106.9799988,0.585738114,0.346420333,-1.690830639,0.090869154,0.161521926
AAEL000051,3.409339998,-4.68169508,1.255625934,3.728574693,0.000192566,0.000607578
AAEL000053,36.12810638,0.461385932,0.292705606,-1.576279792,0.114961337,0.196748205
AAEL000055,32.28015721,0.61933672,0.244290673,-2.535245046,0.011236869,0.025699342
AAEL000057,1.307406407,2.010308422,1.384174857,-1.452351494,0.146403896,0.238225331
AAEL000058,0,#VALUE!,NA,NA,NA,NA
AAEL000063,0,#VALUE!,NA,NA,NA,NA
AAEL000064,2.989742527,1.94826834,0.931105041,-2.09242594,0.03640043,0.073298466
AAEL000065,4.203017347,0.160653182,0.615475904,-0.2610227,0.794075002,0.853861482
AAEL000066,0,#VALUE!,NA,NA,NA,NA
AAEL000069,0.244153718,-1.733919142,3.225918525,0.53749626,0.590924868,NA
AAEL000071,0.775528344,3.10074367,1.975409089,-1.569671663,0.116491517,0.198802982
AAEL000073,0,#VALUE!,NA,NA,NA,NA
AAEL000074,49.58548594,2.640658003,0.342523923,-7.70941189,1.26E-14,9.51E-14
AAEL000075,0.549475207,-1.910483224,1.759053832,1.086085706,0.277441076,0.394901522
AAEL000076,34.10780501,-1.116324617,0.246577822,4.527270983,5.98E-06,2.29E-05
AAEL000077,59.68284611,-1.136338818,0.243333881,4.669875033,3.01E-06,1.19E-05
AAEL000079,525.9955089,0.344662795,0.151013466,-2.282331535,0.022469774,0.047623741
AAEL000080,37.41409539,-2.455850713,0.565748773,4.340885621,1.42E-05,5.20E-05
