,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,92.04945863,-0.432558146,0.249886627,-1.731017584,0.083448628,0.18331392
AAEL000004,17.27819478,0.131705107,0.396478297,0.332187431,0.739747734,0.850309309
AAEL000005,9.949810949,-0.286367874,0.496784656,-0.57644267,0.56431601,0.727610507
AAEL000006,1.707219451,0.931632045,1.5397841,0.605040697,0.545151956,0.713215943
AAEL000008,8.887936204,-0.184358508,0.528314027,-0.3489563,0.727122118,0.842400341
AAEL000010,6420.865776,-0.269387728,0.225130784,-1.196583262,0.231469028,0.395082072
AAEL000011,0,NA,NA,NA,NA,NA
AAEL000012,0,NA,NA,NA,NA,NA
AAEL000013,17.62573357,0.419859962,0.369690983,1.135705173,0.256079975,0.425806512
AAEL000016,72.77793708,0.401739388,0.291121896,1.379969674,0.167595982,0.312166075
AAEL000017,3.165645628,-1.462030348,1.402124773,-1.042724854,0.297075744,0.473892369
AAEL000018,0,NA,NA,NA,NA,NA
AAEL000020,63.19213848,-0.281494202,0.234961554,-1.198043669,0.230900017,0.394412905
AAEL000021,0,NA,NA,NA,NA,NA
AAEL000022,76.69215346,-0.139636795,0.235078185,-0.594001503,0.552511107,0.718541695
AAEL000024,6.058489662,-1.088382834,0.712168622,-1.528265639,0.126446597,0.252621169
AAEL000025,1.023083034,0.396641502,1.494729346,0.265360082,0.790732084,0.880628151
AAEL000026,9.343218927,-0.126161548,0.491716603,-0.2565737,0.79750788,0.885368557
AAEL000027,0.330150038,-0.615296968,2.743824057,-0.224247968,0.822564361,NA
AAEL000028,313.2904589,3.226935747,0.300922505,10.72347762,7.90E-27,1.96E-25
AAEL000029,0,NA,NA,NA,NA,NA
AAEL000032,12748.92387,-0.273742696,0.122153169,-2.240979076,0.02502743,0.068527195
AAEL000033,14.08841675,0.632870323,0.414816142,1.525664646,0.127093403,0.253595146
AAEL000035,0.122264481,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000036,0,NA,NA,NA,NA,NA
AAEL000037,4.269281526,1.87281143,0.99003864,1.891654886,0.058536978,0.137970364
AAEL000038,248.7050258,2.103510823,0.342499306,6.141649894,8.17E-10,7.37E-09
AAEL000039,0.122264481,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000041,0,NA,NA,NA,NA,NA
AAEL000042,21.39414006,0.698960385,0.598353688,1.168139178,0.242750629,0.40934766
AAEL000043,0.129811912,-1.096190414,3.53381767,-0.310200049,0.756408833,NA
AAEL000044,176.3524375,-4.227765434,0.335385908,-12.60567406,1.96E-36,7.50E-35
AAEL000046,31.74575017,-0.72706073,0.288476748,-2.520344311,0.011724009,0.035795166
AAEL000047,0,NA,NA,NA,NA,NA
AAEL000048,0,NA,NA,NA,NA,NA
AAEL000049,43.10213658,-1.817910649,0.636250097,-2.857226517,0.004273607,0.014761125
AAEL000050,72.53085859,-0.705830712,0.421789557,-1.673419127,0.094244815,0.201124588
AAEL000051,3.527565727,-4.281862944,1.424209589,-3.006483722,0.002642882,0.00962594
AAEL000053,26.26912312,-0.544973206,0.351406977,-1.55083206,0.120941935,0.244118263
AAEL000055,28.89098014,0.581023723,0.315155893,1.843607359,0.065240383,0.150432201
AAEL000057,0.367179305,-2.045997902,2.662873593,-0.768342105,0.442283966,NA
AAEL000058,0,NA,NA,NA,NA,NA
AAEL000063,0,NA,NA,NA,NA,NA
