"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAEL024520",28.5076979631625,4.02628772179882,0.288792037869276,13.9418238518797,3.52807779519834e-44,3.02109301602834e-40
"AAEL019536",176.901566331518,4.9086251452026,0.373882323356464,13.1287970534051,2.25205554769631e-39,9.64217582746175e-36
"AAEL005001",55.8285460650184,4.68044602108055,0.359877305372962,13.005671519714,1.13596639919091e-38,3.24242675875726e-35
"AAEL001061",476.004366401129,-6.09561371534021,0.492461696422721,-12.3778433117118,3.44475440266194e-35,7.37435798749856e-32
"AAEL023271",16.8360073005858,5.891482439069,0.491719250717651,11.981394729758,4.44777150482787e-33,7.61725347916822e-30
"AAEL009531",15.7564723828653,5.65016746400401,0.476616120112655,11.8547552748919,2.03317361551319e-32,2.90167761160658e-29
"AAEL009432",34.9878470443186,5.99391736842357,0.509563215714842,11.7628533292282,6.06494052116007e-32,7.41915509752767e-29
"AAEL013712",54.8232325694877,6.92651092108527,0.613702978846155,11.2864221941827,1.53144393360917e-29,1.63921930043691e-26
"AAEL020018",21.3810005910599,2.99083054370279,0.273719224543753,10.9266367705375,8.59761529746774e-28,8.18015331024626e-25
"AAEL007591",13.0640484617991,5.82923920648218,0.539473190936368,10.8054288969658,3.24437249623264e-27,2.77815616852401e-24
"AAEL007962",199.912955539498,-3.02931350270766,0.285925078995673,-10.5947806794293,3.15078687736022e-26,2.4527443664396e-23
"AAEL012382",170.605316111435,4.74591920579384,0.450157883500393,10.5427881633216,5.48482389661849e-26,3.91387891889534e-23
"AAEL004242",126.028307292187,-3.91641590105881,0.375237133792677,-10.437175717323,1.67726647141654e-25,1.10480252267229e-22
"AAEL001690",234.396529581092,6.29782006412727,0.618182098112357,10.1876454904759,2.25151097909869e-24,1.37712060814444e-21
"AAEL025617",38.5394936887978,5.69221962983337,0.55923252303502,10.178627664466,2.4702035234404e-24,1.41015685141468e-21
"AAEL019470",9.48661485660523,5.30744671091237,0.540009038668607,9.82844050906608,8.49236136867509e-23,4.5450056499978e-20
"AAEL007191",16.7078613834833,3.77238775448155,0.38803964172074,9.72165559619916,2.43784987967062e-22,1.2279593246835e-19
"AAEL001837",61.4313065962071,5.69362001531041,0.608568016577348,9.35576609387384,8.29960413323738e-21,3.57913717808479e-18
"AAEL005826",7.28664905345494,5.90790572648617,0.631448445696567,9.35611729944003,8.2720737576738e-21,3.57913717808479e-18
"AAEL011519",5.98412817934445,6.92605544281502,0.740358247397885,9.35500545466715,8.35954029682305e-21,3.57913717808479e-18
"AAEL029070",6.77990624521368,5.97676591870109,0.642360402731985,9.30438098812078,1.34775089434622e-20,5.49561471823177e-18
"AAEL018249",8.72299274960395,4.05085904152208,0.439167601222007,9.22394782823312,2.86358401587489e-20,1.1145849967244e-17
"AAEL013284",7.18479475160346,6.06544079993497,0.659683820870255,9.19446651265972,3.76859944437148e-20,1.40306595835448e-17
"AAEL027166",25.0185415364406,4.89928277622315,0.535428127405569,9.15021554800036,5.68200612061122e-20,2.02729243378308e-17
"AAEL022632",242.838824554322,5.9252625201764,0.65572993383238,9.0361324296216,1.62313016517067e-19,5.55954544174259e-17
"AAEL009477",27.7521711438784,4.15846712599918,0.461058968593422,9.01938235511533,1.89152716553572e-19,6.22967196864705e-17
"AAEL005305",99.1288923274228,3.04227442216704,0.341558403212701,8.90704018273706,5.24130644457135e-19,1.66227063277276e-16
"AAEL010650",5.79302260914643,4.94467108999167,0.559992609707866,8.82988633112708,1.04782154823401e-18,3.09396410949236e-16
"AAEL022033",24.8490920857127,5.01679354998835,0.567991827570814,8.83251009340074,1.02352484327465e-18,3.09396410949236e-16
"AAEL013466",281.479836588449,-2.20071684043644,0.249905908712933,-8.80618170162755,1.2948108826182e-18,3.69582186261989e-16
"AAEL010196",227.314336654739,6.73758153912576,0.766436600818713,8.79078782501858,1.48514811982709e-18,4.10236237099333e-16
"AAEL007915",572.552907971995,-1.13442766395341,0.129238113422805,-8.77781046092882,1.6668787639853e-18,4.46046339250191e-16
"AAEL003298",123.487433027116,5.98374063779366,0.68330953403606,8.7569986071318,2.0051813428436e-18,5.05010818787345e-16
"AAEL021925",22.1203112826094,3.48471225758876,0.39782982812013,8.75930363003476,1.96460268800457e-18,5.05010818787345e-16
"AAEL008271",8.07941765505274,5.36686156000326,0.615476006795518,8.71985504024093,2.78558186493135e-18,6.81512500268775e-16
"AAEL006902",80.9936755344939,5.92862018277197,0.689436712175249,8.59922321813486,8.02574522925052e-18,1.8696624558418e-15
"AAEL012162",6.50408119419135,5.26842601110471,0.612935002039711,8.59540733286982,8.29699559990522e-18,1.8696624558418e-15
"AAEL012502",45.543499174363,3.03346435187357,0.352856940614755,8.5968674630251,8.19215057636474e-18,1.8696624558418e-15
