,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AAEL000001,69.20108825,-1.649609106,0.27462659,-6.006734833,1.89E-09,2.07E-08
AAEL000004,13.65597183,-0.399058024,0.390162427,-1.022799728,0.306402547,0.498355386
AAEL000005,9.376936222,0.00160246,0.472835862,0.003389042,0.997295941,0.998277971
AAEL000006,0.874008942,-1.778809676,2.078207833,-0.855934448,0.392034039,0.587473147
AAEL000008,8.105518199,-0.064314449,0.552212321,-0.116466886,0.907282529,0.954665779
AAEL000010,4952.67574,-1.124456758,0.184390629,-6.098231596,1.07E-09,1.21E-08
AAEL000011,0,NA,NA,NA,NA,NA
AAEL000012,0,NA,NA,NA,NA,NA
AAEL000013,16.25415145,0.552083762,0.401040675,1.376627851,0.168627336,0.332639679
AAEL000016,49.1094941,-0.937070092,0.297148708,-3.153539171,0.001613036,0.006897501
AAEL000017,2.584170087,-2.488785703,1.517514785,-1.640040498,0.100996747,0.228844098
AAEL000018,0,NA,NA,NA,NA,NA
AAEL000020,59.26501412,-0.022885613,0.245326024,-0.093286527,0.925675935,0.962964769
AAEL000021,0,NA,NA,NA,NA,NA
AAEL000022,63.61593482,-0.479310756,0.22609002,-2.119999617,0.034006078,0.095724427
AAEL000024,35.91587999,3.861769482,0.338750239,11.40004947,4.18E-30,2.34E-28
AAEL000025,0.649131901,-1.285017164,2.113250472,-0.608076128,0.543136984,NA
AAEL000026,7.880967143,-0.374870237,0.498877491,-0.751427442,0.452395453,0.646394831
AAEL000027,0.329233279,-0.093399863,2.685036422,-0.034785325,0.972250923,NA
AAEL000028,154.447236,2.112032922,0.234694662,8.999066723,2.28E-19,5.79E-18
AAEL000029,0,NA,NA,NA,NA,NA
AAEL000032,9529.569693,-1.390275045,0.138505791,-10.03766727,1.04E-23,3.60E-22
AAEL000033,11.02625185,0.177562562,0.459972308,0.386028808,0.699475334,0.83715436
AAEL000035,0.10749326,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000036,0,NA,NA,NA,NA,NA
AAEL000037,2.787637787,1.122921867,0.891249117,1.259941631,0.207690419,0.385012312
AAEL000038,107.5371039,0.103535594,0.317852827,0.32573438,0.74462533,0.86607036
AAEL000039,0.10749326,-0.57429631,3.53381767,-0.162514415,0.870900778,NA
AAEL000041,0,NA,NA,NA,NA,NA
AAEL000042,16.06267407,0.078548853,0.653278492,0.120237929,0.904294672,0.953360208
AAEL000043,0.222149382,0.387488373,3.53381767,0.10965149,0.912685774,NA
AAEL000044,192.4070469,-0.928322206,0.315757971,-2.939980271,0.003282331,0.012923602
AAEL000046,26.99191835,-1.017410356,0.342269184,-2.972544426,0.002953425,0.011769492
AAEL000047,0,NA,NA,NA,NA,NA
AAEL000048,0,NA,NA,NA,NA,NA
AAEL000049,46.72222872,-0.334844623,0.482292929,-0.69427645,0.487508857,0.678278467
AAEL000050,74.52732129,0.037222129,0.354331051,0.105049019,0.916336913,0.959318356
AAEL000051,3.260221534,-2.865487027,1.280022807,-2.238621852,0.025180531,0.075145103
AAEL000053,32.02415691,0.757874481,0.299036879,2.534384667,0.0112645,0.038042779
AAEL000055,27.04401013,0.752745293,0.294296024,2.557782745,0.010534188,0.035912589
AAEL000057,0.323886743,-1.522626074,2.693778897,-0.565237954,0.571911924,NA
AAEL000058,0,NA,NA,NA,NA,NA
AAEL000063,0,NA,NA,NA,NA,NA
